method_id,method_label,t_s,theta_true,theta_sched,e_y,e_psi,F_cmd,omega_cmd,j_du_cumulative,theta_true_deg,theta_sched_deg,ey_rmse,epsi_rmse,j_du
ZS_LPV_MPC,Zero-grade,4.49,0.0338606446711668,0.0,0.0,0.0,78.4654089377717,7.27380631303232e-06,0.09188084156099618,1.9400720312499988,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,4.5,0.0342384511856075,0.0,0.0,0.0,79.0274852623687,7.90230158130567e-06,0.09195346910000143,1.9617187499999993,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,4.51,0.0346213300631868,0.0,0.0,0.0,79.719409197335,7.58566212709366e-06,0.0920635285785714,1.9836560937499994,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,4.52,0.0350042089407661,0.0,0.0,0.0,80.4476499517904,7.64622032732587e-06,0.09218544457775527,2.0055934374999995,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,4.53,0.0353870878183454,0.0,0.0,0.0,81.1586221826718,7.71786766605442e-06,0.09230164722444135,2.0275307812499994,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,4.54,0.0357699666959247,0.0,0.0,0.0,81.8349138458715,7.76947366730452e-06,0.09240678984828352,2.0494681249999993,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,4.55,0.036152845573504,0.0,0.0,0.0,82.4030864050136,8.47007686587131e-06,0.09248100135563124,2.071405468749999,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,4.56,0.0365402895779081,0.0,0.0,0.0,83.111085874726,8.10588741216589e-06,0.09259623428646185,2.0936043750000026,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,4.57,0.0369277335823121,0.0,0.0,0.0,83.856876563047,8.16210984865007e-06,0.0927240972176771,2.11580328125,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,4.58,0.0373151775867162,0.0,0.0,0.0,84.5840034724669,8.23097380674154e-06,0.09284564056075814,2.138002187500003,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,4.59,0.0377026215911202,0.0,0.0,0.0,85.2748102729664,8.27986335337483e-06,0.09295534493676191,2.16020109375,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,4.6,0.0380900655955243,0.0,0.0,0.0,85.8475504477964,9.05803051963472e-06,0.0930307544328228,2.182400000000003,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,4.61,0.0384815674904392,0.0,0.0,0.0,86.5707388722793,8.64205863691792e-06,0.09315098466208861,2.2048314062500007,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,4.62,0.0388730693853541,0.0,0.0,0.0,87.3332918619261,8.69329301365906e-06,0.09328465984875971,2.227262812499999,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,4.63,0.039264571280269,0.0,0.0,0.0,88.0757317428933,8.75887231387151e-06,0.09341137639516214,2.249694218749997,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
ZS_LPV_MPC,Zero-grade,4.64,0.039656073175184,0.0,0.0,0.0,88.7801641186223,8.8046056154617e-06,0.09352545110136334,2.272125625000001,0.0,0.7001758044341911,0.18454878431172017,700.5287606764912
