record_type,route_id,route_condition,model_seed,sample_index,debug_step,t_s,theta_true_deg,theta_sched_fusion_lpv_mpc_deg,theta_sched_mtcn_lpv_mpc_deg,theta_mtcn_deg,theta_imu_deg,theta_fused_deg,variance_imu_rad2,imu_valid,K_imu_eff,fallback_exact,imu_uncertainty_halfwidth_deg,local_fusion_effect_deg
trace,P2,Sharp-turn transition,7,59,59.0,0.59,0.0,0.0,0.0,0.0,-2.1583160957738237,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,60,60.0,0.6,0.0,0.0,0.0,0.0,-2.238316095773826,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,61,61.0,0.61,0.0,0.0,0.0,0.0,-2.3183160957738225,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,62,62.0,0.62,0.0,0.0,0.0,0.0,-2.3983160957738243,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,63,63.0,0.63,0.0,0.0,0.0,0.0,-2.4783160957738266,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,64,64.0,0.64,0.0,0.0,0.0,0.0,-2.5583160957738227,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,65,65.0,0.65,0.0,0.0,0.0,0.0,-2.638316095773825,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,66,66.0,0.66,0.0,0.0,0.0,0.0,-2.7183160957738273,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,67,67.0,0.67,0.0,0.0,0.0,0.0,-2.7983160957738233,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,68,68.0,0.68,0.0,0.0,0.0,0.0,-2.8783160957738256,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,69,69.0,0.69,0.0,0.0,0.0,0.0,-2.958316095773828,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,70,70.0,0.7,0.0,0.0,0.0,0.0,-3.038316095773824,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,71,71.0,0.71,0.0,0.0,0.0,0.0,-3.1183160957738263,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,72,72.0,0.72,0.0,0.0,0.0,0.0,-3.198316095773828,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,73,73.0,0.73,0.0,0.0,0.0,0.0,-3.2783160957738247,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
trace,P2,Sharp-turn transition,7,74,74.0,0.74,0.0,0.0,0.0,0.0,-3.358316095773827,0.0,0.0012184696791468,0,0.0,1,3.9199999999999444,0.0
