sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,evaluation_sample,rkf_better_beyond_tolerance,mtcn_better_beyond_tolerance,near_tie
16,16.0,0.16,0.0,0.0,0.16920311252966924,0.0,0.16920311252966924,0.16920311252966924,0,0,0,0
17,17.0,0.17,0.0,0.0,0.16772804981938222,0.0,0.16772804981938222,0.16772804981938222,0,0,0,0
18,18.0,0.18,0.0,0.0,0.1660692759894634,0.0,0.1660692759894634,0.1660692759894634,0,0,0,0
19,19.0,0.19,0.0,0.0,0.16607533884741865,0.0,0.16607533884741865,0.16607533884741865,0,0,0,0
20,20.0,0.2,0.0,0.0,0.16603084614523006,0.0,0.16603084614523006,0.16603084614523006,0,0,0,0
21,21.0,0.21,0.0,0.0,0.16597056129252977,0.0,0.16597056129252977,0.16597056129252977,0,0,0,0
22,22.0,0.22,0.0,0.0,0.16566351763117038,0.0,0.16566351763117038,0.16566351763117038,0,0,0,0
23,23.0,0.23,0.0,0.0,0.1668272626889806,0.0,0.1668272626889806,0.1668272626889806,0,0,0,0
24,24.0,0.24,0.0,0.0,0.16816162629081036,0.0,0.16816162629081036,0.16816162629081036,0,0,0,0
25,25.0,0.25,0.0,0.0,0.16827169727679223,0.0,0.16827169727679223,0.16827169727679223,0,0,0,0
26,26.0,0.26,0.0,0.0,0.16840070126039744,0.0,0.16840070126039744,0.16840070126039744,0,0,0,0
27,27.0,0.27,0.0,0.0,0.16822839928148062,0.0,0.16822839928148062,0.16822839928148062,0,0,0,0
28,28.0,0.28,0.0,0.0,0.16950123724285185,0.0,0.16950123724285185,0.16950123724285185,0,0,0,0
29,29.0,0.29,0.0,0.0,0.1695787747436961,0.0,0.1695787747436961,0.1695787747436961,0,0,0,0
30,30.0,0.3,0.0,0.0,0.16944698858442145,0.0,0.16944698858442145,0.16944698858442145,0,0,0,0
31,31.0,0.31,0.0,0.0,0.16998104424487917,0.0,0.16998104424487917,0.16998104424487917,0,0,0,0
32,32.0,0.32,0.0,0.0,0.1712242952825161,0.0,0.1712242952825161,0.1712242952825161,0,0,0,0
33,33.0,0.33,0.0,0.0,0.17201883368728152,0.0,0.17201883368728152,0.17201883368728152,0,0,0,0
34,34.0,0.34,0.0,0.0,0.17151927752677842,0.0,0.17151927752677842,0.17151927752677842,0,0,0,0
35,35.0,0.35,0.0,0.0,0.17168013398983215,0.0,0.17168013398983215,0.17168013398983215,0,0,0,0
36,36.0,0.36,0.0,0.0,0.17231939163770296,0.0,0.17231939163770296,0.17231939163770296,0,0,0,0
37,37.0,0.37,0.0,0.0,0.1717511718122535,0.0,0.1717511718122535,0.1717511718122535,0,0,0,0
38,38.0,0.38,0.0,0.0,0.17272205372278918,0.0,0.17272205372278918,0.17272205372278918,0,0,0,0
39,39.0,0.39,0.0,0.0,0.17406527560858587,0.0,0.17406527560858587,0.17406527560858587,0,0,0,0
40,40.0,0.4,0.0,0.0,0.17317381264012183,0.0,0.17317381264012183,0.17317381264012183,0,0,0,0
41,41.0,0.41,0.0,0.0,0.17204888157618276,0.0,0.17204888157618276,0.17204888157618276,0,0,0,0
42,42.0,0.42,0.0,0.0,0.17172302327072542,0.0,0.17172302327072542,0.17172302327072542,0,0,0,0
43,43.0,0.43,0.0,0.0,0.17286135953017315,0.0,0.17286135953017315,0.17286135953017315,0,0,0,0
44,44.0,0.44,0.0,0.0,0.17318834887653167,0.0,0.17318834887653167,0.17318834887653167,0,0,0,0
45,45.0,0.45,0.0,0.0,0.1723471945083387,0.0,0.1723471945083387,0.1723471945083387,0,0,0,0
46,46.0,0.46,0.0,0.0,0.17308164298748685,0.0,0.17308164298748685,0.17308164298748685,0,0,0,0
47,47.0,0.47,0.0,0.0,0.17390544949134681,0.0,0.17390544949134681,0.17390544949134681,0,0,0,0
48,48.0,0.48,0.0,0.0,0.17459050591752187,0.0,0.17459050591752187,0.17459050591752187,0,0,0,0
49,49.0,0.49,0.0,0.0,0.17451700993441527,0.0,0.17451700993441527,0.17451700993441527,0,0,0,0
50,50.0,0.5,0.0,0.0,0.17320314881939086,0.0,0.17320314881939086,0.17320314881939086,1,0,1,0
51,51.0,0.51,0.0,0.0,0.17302799518913992,0.0,0.17302799518913992,0.17302799518913992,1,0,1,0
52,52.0,0.52,0.0,0.0,0.1729496043820852,0.0,0.1729496043820852,0.1729496043820852,1,0,1,0
53,53.0,0.53,0.0,0.0,0.17200039830747954,0.0,0.17200039830747954,0.17200039830747954,1,0,1,0
