candidate_id,Kmax,p_help_threshold,slope_entry_deg,slope_exit_deg,innovation_min_deg,innovation_max_deg,quality_intercept,quality_slope,quality_floor,correction_limit_deg,correction_rate_limit_deg_s,sample_count,baseline_mae_deg,fused_mae_deg,mae_ratio,active_fraction,active_improve_fraction,active_degrade_fraction,fallback_fraction,gate_fraction,nonfinite_count,fallback_identity_max_abs,fold_mae_ratios,worst_fold_mae_ratio,near_flat_baseline_mae_deg,near_flat_fused_mae_deg,near_flat_mae_ratio,near_flat_mae_delta_deg,slope_baseline_mae_deg,slope_fused_mae_deg,slope_mae_ratio,slope_mae_delta_deg,transition_baseline_mae_deg,transition_fused_mae_deg,transition_mae_ratio,transition_mae_delta_deg,K_raw_p95_p05,K_eff_p95_p05,cap_fraction,acceptance_failures,development_accepted
V7C14,0.9,0.6,0.5,0.3,0.5,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8142494146992707,0.9535561873384641,0.1692104614587728,0.7536412740262369,0.04389031248302796,0.8285449031508858,0.17145509684911422,0,0.0,"[0.9504743532703332, 0.9611424876105832, 0.9490881140280406]",0.9611424876105832,0.6872141643299762,0.6533035225821486,0.9506549144241083,-0.03391064174782754,0.8545848387841777,0.8128038047698557,0.9511095538814331,-0.04178103401432198,0.9131007671493416,0.8934045595707948,0.9784293165802089,-0.019696207578546843,0.418300526182651,0.5182714102963663,0.0253696234512482,[],True
V7C15,0.9,0.6,0.8,0.48,0.25,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8036514719095107,0.9411450836424706,0.23423366598020828,0.7474225976791341,0.04468924044876493,0.7634454641530872,0.23655453584691283,0,0.0,"[0.9390070474140447, 0.9508822566814065, 0.9343151351776856]",0.9508822566814065,0.6872141643299762,0.6600965921141427,0.9605398526058136,-0.02711757221583344,0.8545848387841777,0.8008597842861566,0.9371331527780717,-0.05372505449802112,0.9131007671493416,0.8900022221876365,0.9747031808616066,-0.02309854496170516,0.4014160268164173,0.5163625429936335,0.015599643295455549,[],True
V7C16,0.9,0.6,0.8,0.48,0.5,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8148809273381785,0.954295743024157,0.16642445685546362,0.7543953003010729,0.04285174638593303,0.8320276699819962,0.16797233001800388,0,0.0,"[0.9515324510805795, 0.9622332359215905, 0.9493429496175826]",0.9622332359215905,0.6872141643299762,0.6637013703326554,0.9657853472501613,-0.023512793997320758,0.8545848387841777,0.813030913379112,0.9513753070272291,-0.04155392540506564,0.9131007671493416,0.89439190771457,0.9795106300335505,-0.01870885943477163,0.4017196383794064,0.5152853781371227,0.017243866167305787,[],True
V7C17,0.9,0.6,1.0,0.6,0.25,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8044929927245849,0.9421305769882465,0.23148734507692373,0.7461782557345337,0.044697016860517046,0.766796648189379,0.23320335181062102,0,0.0,"[0.9412199988948107, 0.9519039811796781, 0.9345308759348236]",0.9519039811796781,0.6872141643299762,0.6687188449009314,0.9730865276226117,-0.01849531942904481,0.8545848387841777,0.8013172057122622,0.9376684085014898,-0.05326763307191551,0.9131007671493416,0.8917763012849457,0.976646097964664,-0.02132446586439596,0.4012881568559383,0.5142801519424907,0.01209534770206306,[],True
V7C18,0.9,0.6,1.0,0.6,0.5,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8156062559503574,0.955145165293932,0.16431035995204538,0.75264365478362,0.043007773025124096,0.8346311295651919,0.16536887043480802,0,0.0,"[0.9535542451818917, 0.9630430465675454, 0.949519040875157]",0.9630430465675454,0.6872141643299762,0.6706846226767224,0.9759470300363062,-0.01652954165325382,0.8545848387841777,0.8134725188698596,0.9518920555941424,-0.041112319914318074,0.9131007671493416,0.895603079884226,0.9808370687062913,-0.01749768726511558,0.4013141877847757,0.5123954714528298,0.013649286465773217,[],True
V7C19,0.9,0.65,0.5,0.3,0.25,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8085433120596515,0.9468738497409519,0.20678486839631902,0.7478690620843043,0.040764319630081904,0.7904675575309219,0.20953244246907804,0,0.0,"[0.9443167509778768, 0.954608326479024, 0.941966084098526]",0.954608326479024,0.6872141643299762,0.6526081370506218,0.9496430238554604,-0.03460602727935436,0.8545848387841777,0.806705870526217,0.943974002246426,-0.047878968257960675,0.9131007671493416,0.8898135769450674,0.9744965823684764,-0.023287190204274277,0.4171383550919602,0.5220422455513789,0.02475149818782072,[],True
V7C20,0.9,0.65,0.5,0.3,0.5,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8182262262045413,0.9582133760920233,0.15028593150175654,0.7531311323219577,0.040464291471868453,0.8478520675207712,0.15214793247922873,0,0.0,"[0.955533545081936, 0.9649138872019821, 0.9542415992795399]",0.9649138872019821,0.6872141643299762,0.657463780355543,0.9567087153923269,-0.029750383974433192,0.8545848387841777,0.8170521076384666,0.9560807430200738,-0.037532731145711096,0.9131007671493416,0.8944623281522707,0.9795877523405666,-0.01863843899707096,0.43911052452829724,0.5214411346779424,0.02684830938565171,[],True
V7C21,0.9,0.65,0.8,0.48,0.25,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8092517588150965,0.947703501902635,0.20345081100951157,0.748709056826138,0.03981853907323112,0.7946700613635319,0.20532993863646806,0,0.0,"[0.9455512276090072, 0.9558252567646869, 0.9422289455295443]",0.9558252567646869,0.6872141643299762,0.663282533302606,0.9651758763576953,-0.02393163102737017,0.8545848387841777,0.8069327960179598,0.9442395411156455,-0.04765204276621793,0.9131007671493416,0.8916069165123529,0.9764605929484743,-0.02149385063698872,0.401660347097074,0.5188116293437683,0.01680515842378783,[],True
V7C22,0.9,0.65,0.8,0.48,0.5,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8187903735387921,0.9588740412044987,0.14787002961657192,0.7538691010069479,0.039664906261608714,0.8508820224484425,0.14911797755155748,0,0.0,"[0.9564819934941883, 0.9658961133107743, 0.9544607811581327]",0.9658961133107743,0.6872141643299762,0.66618235807229,0.969395557674234,-0.021031806257686192,0.8545848387841777,0.81726180446186,0.956326121610796,-0.03732303432231765,0.9131007671493416,0.8954996168755883,0.980723759187386,-0.017601150273753308,0.40279741221910875,0.5179434294818865,0.018543159522435557,[],True
V7C23,0.9,0.65,1.0,0.6,0.25,2.0,1.0,0.5,0.5,0.5,5.0,4787860,0.8539081655712161,0.8100290597198164,0.9486137882028016,0.20098770640745553,0.7473919283051769,0.0398866882607417,0.7976812187490863,0.20231878125091377,0,0.0,"[0.947656871171632, 0.9567403538246942, 0.9424150160255832]",0.9567403538246942,0.6872141643299762,0.6708082019491695,0.9761268564701336,-0.016405962380806716,0.8545848387841777,0.8073757413451956,0.9447578575040639,-0.04720909743898205,0.9131007671493416,0.8932058242289518,0.9782116677193242,-0.019894942920389846,0.40132064502786907,0.5166971237947682,0.013047733293140932,[],True
