candidate_id,Kmax,p_help_threshold,slope_entry_deg,slope_exit_deg,innovation_min_deg,innovation_max_deg,quality_intercept,quality_slope,quality_floor,correction_limit_deg,correction_rate_limit_deg_s,sample_count,baseline_mae_deg,fused_mae_deg,mae_ratio,active_fraction,active_improve_fraction,active_degrade_fraction,fallback_fraction,gate_fraction,nonfinite_count,fallback_identity_max_abs,fold_mae_ratios,worst_fold_mae_ratio,near_flat_baseline_mae_deg,near_flat_fused_mae_deg,near_flat_mae_ratio,near_flat_mae_delta_deg,slope_baseline_mae_deg,slope_fused_mae_deg,slope_mae_ratio,slope_mae_delta_deg,transition_baseline_mae_deg,transition_fused_mae_deg,transition_mae_ratio,transition_mae_delta_deg,K_raw_p95_p05,K_eff_p95_p05,cap_fraction,acceptance_failures,development_accepted,fold,fit_run_count,held_run_count,covariance_psd,gate_model_sha256
V7C19,0.9,0.65,0.5,0.3,0.25,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.7818258707609639,0.9443167509778768,0.21495037830401886,0.7414878136118793,0.05887865420218966,0.7825996528118961,0.2174003471881039,0,0.0,[],,0.76242567137355,0.7234184397173847,0.9488379875957066,-0.039007231656165264,0.8325982963075129,0.7861334076370141,0.9441929092618063,-0.046464888670498805,0.8125764415626815,0.7667788393259194,0.9436390228731123,-0.0457976022367621,0.40192634687247414,0.5144891063804246,0.0001280612283331701,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
V7C20,0.9,0.65,0.5,0.3,0.5,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.791112563820757,0.955533545081936,0.15533392289803805,0.7553979968371112,0.06193463363205061,0.8430988175952311,0.1569011824047689,0,0.0,[],,0.76242567137355,0.7281732885093399,0.9550744627964814,-0.03425238286421006,0.8325982963075129,0.7957668915727295,0.9557632955794807,-0.03683140473478341,0.8125764415626815,0.7747783674086826,0.9534836696947444,-0.03779807415399894,0.40214464677091,0.5137607671828494,0.0001774400617908921,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
V7C21,0.9,0.65,0.8,0.48,0.25,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.7828479279955393,0.9455512276090072,0.21096590350791,0.7407700667598199,0.05912513584847073,0.7875020470996692,0.2124979529003308,0,0.0,[],,0.76242567137355,0.7337132468508992,0.9623406902460094,-0.02871242452265077,0.8325982963075129,0.7863912589168115,0.9445026039620489,-0.04620703739070142,0.8125764415626815,0.7709547043966488,0.9487780656229842,-0.04162173716603268,0.40189605304488,0.5126959048780398,0.00013101564095548937,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
V7C22,0.9,0.65,0.8,0.48,0.5,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.7918978104077873,0.9564819934941883,0.15275539615472797,0.7543674383948625,0.0625405385122567,0.8462292424093544,0.15377075759064557,0,0.0,[],,0.76242567137355,0.7364023601694557,0.9658677400549591,-0.02602331120409429,0.8325982963075129,0.7960172205118621,0.9560639555018499,-0.03658107579565084,0.8125764415626815,0.7773474112279687,0.9566452723303629,-0.03522903033471281,0.4019580828273025,0.5123095722813795,0.0001810523401014958,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
V7C23,0.9,0.65,1.0,0.6,0.25,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.784591248348754,0.947656871171632,0.20593413252104417,0.737263166265731,0.0598938348674924,0.7932314696537945,0.2067685303462055,0,0.0,[],,0.76242567137355,0.742200799913116,0.9734729925554608,-0.020224871460433946,0.8325982963075129,0.7877143025394323,0.9460916579253927,-0.04488399376808061,0.8125764415626815,0.7737013261113587,0.952158205107988,-0.03887511545132283,0.40188845572567994,0.5082003959223524,0.00013464599982575224,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
V7C24,0.9,0.65,1.0,0.6,0.5,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.7935012183683153,0.9584186459540309,0.14867511709410108,0.7491848783926683,0.06405313711667254,0.8508843470570895,0.1491156529429105,0,0.0,[],,0.76242567137355,0.7434054521783083,0.9750530183998452,-0.01902021919524166,0.8325982963075129,0.7973371335528713,0.95764924945076,-0.03526116275464164,0.8125764415626815,0.7792495380142882,0.9589861312194805,-0.033326903548393294,0.40188857986114124,0.506597981083615,0.00018670444686061963,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
V7C25,1.0,0.6,0.5,0.3,0.25,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.7762786679147322,0.9376166445159734,0.245909894860961,0.7402127765845862,0.06243111399696985,0.7513543611411352,0.24864563885886476,0,0.0,[],,0.76242567137355,0.7187661532861573,0.9427360335221429,-0.04365951808739266,0.8325982963075129,0.7803116152260267,0.9372005908330917,-0.052286681081486264,0.8125764415626815,0.7634481802453089,0.939540135789695,-0.04912826131737258,0.401897360508919,0.5097760963800356,0.0,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
V7C26,1.0,0.6,0.5,0.3,0.5,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.7869239194497267,0.9504743532703332,0.17442763093249483,0.758381920776648,0.06296181543343755,0.8237881169958403,0.17621188300415971,0,0.0,[],,0.76242567137355,0.7246061506432242,0.95039579312408,-0.037819520730325795,0.8325982963075129,0.7913834874828423,0.9504985669470452,-0.04121480882467066,0.8125764415626815,0.7721677478955822,0.9502709017881584,-0.040408693667099316,0.40193422173804805,0.5095873785956135,0.0,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
V7C27,1.0,0.6,0.8,0.48,0.25,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.7774298208042341,0.9390070474140447,0.24129327568700665,0.739328145732446,0.06260413944759856,0.7569617765549769,0.2430382234450231,0,0.0,[],,0.76242567137355,0.7307481424932022,0.9584516496889736,-0.031677528880347805,0.8325982963075129,0.780594721056465,0.9375406177484648,-0.05200357525104793,0.8125764415626815,0.7680491640898887,0.9452023524246389,-0.04452727747279284,0.40188980718345324,0.5087130512808883,0.0,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
V7C28,1.0,0.6,0.8,0.48,0.5,2.0,1.0,0.5,0.5,0.5,5.0,1221240,0.8279275676846278,0.7877999477961364,0.9515324510805795,0.17151174216370246,0.7572485044663105,0.06345932578047045,0.8273353313026105,0.17266466869738953,0,0.0,[],,0.76242567137355,0.7338909497909439,0.962573766002397,-0.02853472158260606,0.8325982963075129,0.7916576658752725,0.9508278714791901,-0.04094063043224039,0.8125764415626815,0.7750358690392357,0.9538005649643857,-0.03754057252344578,0.40190207669262534,0.508722192988396,0.0,['every_fold_noninferior'],False,0,62,24,True,d9cef9bbc4642718fef09d705f072d2fe537201c742abf59eb0eca49e0826f1b
