t_s,e_y,e_psi,e_v,e_omega,xy_error,X,Y,X_ref,Y_ref,F_cmd,omega_cmd,F_limit_lo,F_limit_hi,omega_limit_lo,omega_limit_hi,theta_true,theta_ref,theta_imu_raw,theta_sched,solve_time_ms
24.34,-0.0162674408764112,0.025055193893552,-0.00584359015393943,0.0520182285310131,0.473596701649122,19.8647750625231,4.14187387623423,20.3038192058277,4.31945224215434,-170.481171539295,-0.0373610573010489,-666.610144902216,653.389855097784,-1.33322028980443,1.30677971019557,-0.101229096615671,-0.101229096615671,-0.107132693385601,-0.104836468579478,0.0263512
24.35,-0.0182080853712579,0.029327198748917,-0.005923981709683,0.0475543661057769,0.473649864978431,19.8732749642227,4.14523728444847,20.312466991393,4.32259161302314,-170.897649184111,-0.0380417421639628,-667.530538820666,652.469461179334,-1.33506107764133,1.30493892235867,-0.101229096615671,-0.101229096615671,-0.107198389400399,-0.104894076404379,0.0255372
24.36,-0.0179248776850287,0.0287657883339307,-0.00602356935927384,0.044976803978545,0.473702437900388,19.8817755783024,4.14859644393865,20.3211298678997,4.32568909732997,-170.819901608172,-0.0396074432068269,-667.530538820666,652.469461179334,-1.33506107764133,1.30493892235867,-0.101229096615671,-0.101229096615671,-0.107097013699276,-0.104937099445355,0.0264179
24.37,-0.0176461198572028,0.028336253923737,-0.00611957054655576,0.0521607787943186,0.473756211445418,19.89027690689,4.15195113141467,20.3297927444065,4.3287865816368,-170.806987652797,-0.0412714593061388,-667.530538820666,652.469461179334,-1.33506107764133,1.30493892235867,-0.101229096615671,-0.101229096615671,-0.10707159364295,-0.104980122486331,0.0253314
24.38,-0.0173718820021701,0.0278712542743114,-0.00621497396839887,0.0457487422685511,0.473811158866853,19.8987789933876,4.15530128797713,20.3384556209133,4.33188406594364,-170.656498078498,-0.0405299232105641,-667.530538820666,652.469461179334,-1.33506107764133,1.30493892235867,-0.101229096615671,-0.101229096615671,-0.1069951288952,-0.105023145527307,0.0255839
24.39,-0.0171020239848148,0.0274229597959478,-0.00630343788367704,0.0484941089294075,0.473867235369821,19.9072818198568,4.15864705610044,20.34711849742,4.33498155025047,-170.594696140158,-0.0410927470505918,-667.530538820666,652.469461179334,-1.33506107764133,1.30493892235867,-0.101229096615671,-0.101229096615671,-0.106798979685036,-0.105066168568283,0.0257329
24.4,-0.0190639072140003,0.0318950434504374,-0.00638905066273265,0.0521894585285164,0.473924385817591,19.915785417724,4.1619884839938,20.3557813739268,4.3380790345573,-170.963480353597,-0.042949016370934,-668.24502786495,651.75497213505,-1.3364900557299,1.3035099442701,-0.101229096615671,-0.101229096615671,-0.106830113248296,-0.105109191609259,0.0255394
24.41,-0.0187580202375661,0.0313486454188125,-0.00649166090107822,0.0469597933947496,0.473980904260293,19.9242897028846,4.16532558673724,20.3644593879743,4.34113385142188,-170.849810682479,-0.0439961785454067,-668.24502786495,651.75497213505,-1.3364900557299,1.3035099442701,-0.101229096615671,-0.101229096615671,-0.106903855798464,-0.105152717117314,0.026056
24.42,-0.0184563764122423,0.0307889430784132,-0.00658902871698375,0.0467309903938042,0.474038671215458,19.9327945949299,4.1686584029471,20.3731374020219,4.34418866828646,-170.749795742575,-0.0444251012098754,-668.24502786495,651.75497213505,-1.3364900557299,1.3035099442701,-0.101229096615671,-0.101229096615671,-0.107453592198619,-0.105196242625369,0.0249038
24.43,-0.0181588270060265,0.0301732732815784,-0.00668178368147099,0.0402308918416013,0.474097629845458,19.9413000842829,4.17198708701916,20.3818154160694,4.34724348515104,-170.587006129566,-0.0435550599985469,-668.24502786495,651.75497213505,-1.3364900557299,1.3035099442701,-0.101229096615671,-0.101229096615671,-0.107154240213901,-0.105239768133424,0.0254526
24.44,-0.0178649268891649,0.0295481569434064,-0.00676703221995756,0.041806451993484,0.474157710735091,19.9498060642432,4.17531207338937,20.3904934301169,4.35029830201562,-170.516498407591,-0.0437790718307348,-668.24502786495,651.75497213505,-1.3364900557299,1.3035099442701,-0.101229096615671,-0.101229096615671,-0.10716805050152,-0.105283293641479,0.0256582
24.45,-0.0198332198038649,0.0339493777741229,-0.00684902839996404,0.0495820119021828,0.47421885625042,19.9583127247463,4.17863301947412,20.3991714441644,4.3533531188802,-170.942837085816,-0.04582555943501,-668.998649063463,651.001350936537,-1.33799729812693,1.30200270187307,-0.101229096615671,-0.101229096615671,-0.107067839471734,-0.105326819149534,0.0266603
24.46,-0.0195024873302626,0.0333610460813905,-0.00695067519409265,0.0432815171469545,0.474279283989959,19.9668201099915,4.18194958134449,20.4078645458885,4.35636473202331,-170.815030841398,-0.0469044931795758,-668.998649063463,651.001350936537,-1.33799729812693,1.30200270187307,-0.101229096615671,-0.101229096615671,-0.106938222732965,-0.10536145316397,0.0255691
