sample_index,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,rkf_locally_better,evaluation_sample,rkf_better_beyond_tolerance,mtcn_better_beyond_tolerance,near_tie
2489,24.89,4.863302939814812,5.313646207939023,3.840671474754242,0.450343268124211,1.0226314650605697,0.5722881969363587,0,1,0,1,0
2490,24.9,4.849974999999995,5.31380305934044,3.834127395055556,0.4638280593404449,1.0158476049444394,0.5520195456039945,0,1,0,1,0
2491,24.91,4.836022893518519,5.313621686679849,3.8269508715269733,0.4775987931613299,1.009072021991546,0.5314732288302162,0,1,0,1,0
2492,24.92,4.822070787037037,5.313440314019254,3.8197743479983797,0.4913695269822167,1.0022964390386577,0.510926912056441,0,1,0,1,0
2493,24.93,4.808118680555555,5.313258941358663,3.812597824469792,0.5051402608031079,0.9955208560857636,0.49038059528265565,0,1,0,1,0
2494,24.94,4.794166574074074,5.313077568698068,3.805421300941204,0.5189109946239938,0.9887452731328703,0.4698342785088765,0,1,0,1,0
2495,24.95,4.780214467592592,5.312896196037478,3.798244777412616,0.5326817284448859,0.9819696901799762,0.4492879617350902,0,1,0,1,0
2496,24.96,4.765653055555556,5.312359528203607,3.7904644664900013,0.5467064726480508,0.9751885890655547,0.4284821164175039,0,1,0,1,0
2497,24.97,4.751091643518521,5.311822860369741,3.7826841555673876,0.5607312168512202,0.9684074879511333,0.4076762710999131,0,1,0,1,0
2498,24.98,4.7365302314814794,5.311286192535875,3.7749038446447667,0.5747559610543957,0.9616263868367128,0.386870425782317,0,1,0,1,0
2499,24.99,4.721968819444439,5.310749524702004,3.7671235337221467,0.5887807052575651,0.9548452857222922,0.3660645804647271,0,1,0,1,0
2500,25.0,4.70740740740741,5.310212856868139,3.759343222799532,0.6028054494607291,0.9480641846078779,0.3452587351471488,0,1,0,1,0
2501,25.01,4.692251550925921,5.3092514425724735,3.750865836259965,0.6169998916465529,0.9413857146659557,0.3243858230194028,0,1,0,1,0
2502,25.02,4.677095694444444,5.308290028276808,3.742388449720403,0.6311943338323642,0.9347072447240405,0.3035129108916763,0,1,0,1,0
2503,25.03,4.661939837962961,5.307328613981143,3.7339110631808357,0.6453887760181827,0.928028774782125,0.2826399987639423,0,1,0,1,0
2504,25.04,4.646783981481484,5.306367199685472,3.7254336766412686,0.6595832182039887,0.9213503048402152,0.2617670866362265,0,1,0,1,0
2505,25.05,4.631628125000001,5.305405785389807,3.716956290101701,0.6737776603898062,0.9146718348982996,0.24089417450849337,0,1,0,1,0
2506,25.06,4.615892685185181,5.304049814194953,3.707920580234941,0.6881571290097721,0.90797210495024,0.21981497594046795,0,1,0,1,0
2507,25.07,4.600157245370368,5.3026938430001,3.698884870368187,0.7025365976297318,0.9012723750021809,0.19873577737244918,0,1,0,1,0
2508,25.08,4.584421805555555,5.301337871805246,3.689849160501427,0.7169160662496914,0.8945726450541276,0.1776565788044362,0,1,0,1,0
2509,25.09,4.568686365740741,5.299981900610386,3.6808134506346666,0.7312955348696448,0.8878729151060747,0.15657738023642986,0,1,0,1,0
2510,25.1,4.552950925925922,5.2986259294155325,3.6717777407679066,0.7456750034896107,0.8811731851580151,0.13549818166840444,0,1,0,1,0
2511,25.11,4.53665076388889,5.296791689395947,3.6621038656865452,0.7601409255070575,0.8745468982023445,0.11440597269528707,0,1,0,1,0
2512,25.12,4.5203506018518524,5.294957449376357,3.652429990605183,0.7746068475245043,0.8679206112466695,0.09331376372216527,0,1,0,1,0
2513,25.13,4.504050439814814,5.293123209356772,3.642756115523821,0.7890727695419582,0.8612943242909932,0.07222155474903502,0,1,0,1,0
2514,25.14,4.487750277777776,5.291288969337182,3.6330822404424534,0.8035386915594058,0.8546680373353226,0.05112934577591677,0,1,0,1,0
2515,25.15,4.471450115740738,5.289454729317597,3.623408365361092,0.8180046135768588,0.8480417503796458,0.030037136802786968,0,1,0,0,1
2516,25.16,4.454600092592592,5.287092186410791,3.6130924210968867,0.8324920938181988,0.8415076714957057,0.009015577677506936,0,1,0,0,1
2517,25.17,4.437750069444441,5.284729643503991,3.602776476832676,0.8469795740595503,0.8349735926117647,-0.01200598144778553,1,1,0,0,1
2518,25.18,4.420900046296295,5.282367100597191,3.592460532568471,0.8614670543008955,0.8284395137278242,-0.033027540573071335,1,1,0,0,1
2519,25.19,4.404050023148144,5.2800045576903845,3.58214458830426,0.8759545345422408,0.8219054348438837,-0.05404909969835714,1,1,1,0,0
2520,25.2,4.3872000000000035,5.277642014783585,3.5718286440400493,0.8904420147835816,0.8153713559599542,-0.0750706588236274,1,1,1,0,0
2521,25.21,4.369814976851852,5.27463779267896,3.560869666548677,0.9048228158271083,0.8089453103031747,-0.09587750552393359,1,1,1,0,0
2522,25.22,4.352429953703704,5.271633570574335,3.5499106890573104,0.9192036168706306,0.8025192646463939,-0.11668435222423668,1,1,1,0,0
2523,25.23,4.335044930555557,5.268629348469716,3.5389517115659372,0.933584417914159,0.7960932189896197,-0.13749119892453932,1,1,1,0,0
2524,25.24,4.317659907407403,5.265625126365091,3.527992734074565,0.9479652189576875,0.7896671733328384,-0.15829804562484906,1,1,1,0,0
2525,25.25,4.300274884259257,5.262620904260471,3.5170337565831984,0.9623460200012142,0.7832411276760585,-0.1791048923251557,1,1,1,0,0
2526,25.26,4.282369722222219,5.258921626128559,3.5054207759304643,0.9765519039063397,0.7769489462917547,-0.19960295761458502,1,1,1,0,0
2527,25.27,4.264464560185187,5.2552223479966464,3.493807795277731,0.9907577878114591,0.7706567649074563,-0.2201010229040028,1,1,1,0,0
2528,25.28,4.246559398148144,5.251523069864739,3.482194814624998,1.0049636717165944,0.7643645835231463,-0.2405990881934481,1,1,1,0,0
2529,25.29,4.228654236111112,5.247823791732826,3.47058183397227,1.0191695556217146,0.7580724021388416,-0.261097153482873,1,1,1,0,0
2530,25.3,4.210749074074075,5.244124513600919,3.458968853319536,1.0333754395268446,0.7517802207545388,-0.28159521877230587,1,1,1,0,0
