t_s,e_y,e_psi,e_v,e_omega,xy_error,X,Y,X_ref,Y_ref,F_cmd,omega_cmd,F_limit_lo,F_limit_hi,omega_limit_lo,omega_limit_hi,theta_true,theta_ref,theta_imu_raw,theta_sched,solve_time_ms
47.7,0.00803198605346997,0.0135524216353051,0.00039874332166423,0.011195809713455,0.276493746074915,40.6019526695123,8.68027627074503,40.877585232879,8.70208181202303,29.5344486735608,-0.0734404766500485,-678.149357113142,641.850642886858,-1.55974352136023,1.47625647863977,0,0,0,0,0.0256438
47.71,0.00818092271852163,0.0129762287225961,0.00039261587948447,0.0102322744114231,0.276495794482636,40.6106880249506,8.6813731838429,40.8863353705878,8.70301724098919,29.5097118169411,-0.0743559867355681,-678.149357113142,641.850642886858,-1.55974352136023,1.47625647863977,0,0,0,0,0.02527
47.72,0.00832495894735432,0.012395218133377,0.000385348306155997,0.0102322744114231,0.276497775367018,40.6194239230838,8.68246522662563,40.8950855082966,8.70395266995535,29.4884304095154,-0.0753108490897741,-678.149357113142,641.850642886858,-1.55974352136023,1.47625647863977,0,0,0,0,0.0265029
47.73,0.00846404036030148,0.0118108514844515,0.000377099914263823,0.00956106247012735,0.27649969116498,40.6281603573725,8.68355234368588,40.9038356460054,8.70488809892151,29.4823133085598,-0.0757862687169815,-678.149357113142,641.850642886858,-1.55974352136023,1.47625647863977,0,0,0,0,0.0260636
47.74,0.00859811246435143,0.0112231287758194,0.000368569750220593,0.00956106247012735,0.276501540254292,40.6368973254669,8.6846344799565,40.9125857837142,8.70582352788767,29.4812161599335,-0.0760877116724284,-678.149357113142,641.850642886858,-1.55974352136023,1.47625647863977,0,0,0,0,0.0262207
47.75,0.00796400448385462,0.0136338801600878,0.00035998922345315,0.00925588105026041,0.276503317188564,40.6456348280228,8.68571159326108,40.921335921423,8.70675895685383,29.499447377552,-0.0763435653543208,-677.824232510006,642.175767489994,-1.55899573477301,1.47700426522699,0,0,0,0,0.0263785
47.76,0.00811434319499654,0.0130427324837155,0.000352249305987096,0.00918125034194186,0.276505786083007,40.6543728707453,8.68678364575291,40.9300888260389,8.70766813123681,29.5014606004339,-0.0761265335535906,-677.824232510006,642.175767489994,-1.55899573477301,1.47700426522699,0,0,0,0,0.0264321
47.77,0.00825956220959922,0.0124509852474333,0.000344602383510084,0.00913596906828488,0.276508189229225,40.6631114590057,8.68785060768855,40.9388417306548,8.70857730561979,29.5027600376567,-0.0761135830634454,-677.824232510006,642.175767489994,-1.55899573477301,1.47700426522699,0,0,0,0,0.0262394
47.78,0.00839963727982268,0.0118583787423894,0.000337015550660902,0.0090093965895963,0.276510518914048,40.6718505935299,8.68891245476241,40.9475946352707,8.70948648000278,29.5080154388639,-0.075994480374177,-677.824232510006,642.175767489994,-1.55899573477301,1.47700426522699,0,0,0,0,0.0264076
47.79,0.00853454819548075,0.011265139374952,0.000329671162190071,0.0090093965895963,0.276512767139827,40.6805902752601,8.68996916675165,40.9563475398866,8.71039565438576,29.5150297033475,-0.0758234542704055,-677.824232510006,642.175767489994,-1.55899573477301,1.47700426522699,0,0,0,0,0.0267266
