step,fx,fy,fz,gx,gy,gz,theta_tcn,theta_fuzzyakf,accel_weight,accel_norm,fuzzy_innovation,fuzzy_nis,min_covariance_eigenvalue,gyro_energy,gyro_vibration_feature,P_tcn_base,P_tcn,P_fuzzyakf_total,cross_error_total,S,NIS,innovation,K_raw,K_eff,Kmax,NIS_weight,quality_weight,correction_prev,correction,target_correction,theta_fused,theta_tcn_abs,fallback,fallback_reason_code,innovation_gate_flag,innovation_min_gate,slope_gate,nis_downweight_flag,nis_reject_flag,Kmax_cap_flag,rate_limit_flag,observer_valid,tcn_ready,regime_index,quality_score,quality_bin,p_help,v7_gate,label_main,label_turn,conf_main
1850,0.0354094060123648,0.0577476725719746,9.746373121831,-0.00365618073305829,0.00134127341628233,0.0593154912445855,0,0.000862789676854617,0.228156306866474,9.74660852038653,0.00277580160805051,0.00368612253276293,1.63132008063651e-08,0.00376922130568403,0.175411383655075,0.00284980193900787,0.0028498800752667,0.000178637123814681,-0.000232250788217347,0.00349301877551608,0.000213112517947148,0.000862789676854617,0.882368822374475,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.421812720184135,1,0.532102691869423,0,1,-1,0.999972581863403
1851,0.0287331758955926,0.0526124630954531,9.79371290290994,-0.00131862497286698,-0.0010746660008238,0.0580610404235548,0,0.000846752308648988,0.289839952004462,9.79389636923399,0.00209236279710184,0.00265925015914934,1.62866411904691e-08,0.00374945914509473,0.174950935281511,0.00284980193900787,0.00284989502307274,0.000178637123814681,-0.00023225139730178,0.00349303494149098,0.000205262610942091,0.000846752308648988,0.882369192407484,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.291973607317716,1,0.532102691869423,0,1,-1,0.999967336654663
1852,0.0609199221067711,0.0455230931936341,9.76974018284807,0.00257324863742495,0.00164102393150698,0.0576754073265114,0,0.000862364848079929,0.208313006826531,9.77003617338644,0.0053828994209807,0.0126585795412793,1.62601451828704e-08,0.00372877454675863,0.17446769297468,0.00284980193900787,0.00284985153854608,0.000178637123814681,-0.000232249625415356,0.00349298791319148,0.000212904581889732,0.000862364848079929,0.88236811593928,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.319789109886215,1,0.532102691869423,0,1,-1,0.999982595443726
1853,0.0429162216666637,0.101747281681201,9.78761035190874,-0.000120590304496342,0.00212421215649124,0.0625373449838687,0,0.00088076985745573,0.252441117410942,9.78823327839109,0.00351167592453309,0.00652616245690848,1.6233712052362e-08,0.00373810813626764,0.174685913740426,0.00284980193900787,0.00284988415194108,0.000178637123814681,-0.000232250954331442,0.00349302318441864,0.000222087143670562,0.00088076985745573,0.882368923292873,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.291847932515031,1,0.532102691869423,0,1,-1,0.999971151351929
1854,0.0709260185078656,0.0473918775978382,9.74548123414293,-0.000203801217513652,0.00238180670705818,0.0652005281163359,0,0.000904190090718309,0.18252630516281,9.74585455335732,0.0063836741127998,0.0156027308512577,1.62073421276038e-08,0.00376404389969301,0.175290869634119,0.00284980193900787,0.00284990793254159,0.000178637123814681,-0.00023225192332796,0.00349304890301219,0.000234053327867288,0.000904190090718309,0.882369511978972,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.423814976322962,1,0.509684948163085,0,1,-1,0.99996280670166
1855,-0.0106408509975247,0.0646508097291226,9.87368867870134,-0.000332788140564211,-0.000177850226262601,0.0632579204047184,0,0.000887730526614692,0.240980480880083,9.87390606998181,-0.00196956419208658,0.00195990187815142,1.61810346639196e-08,0.00377592704833732,0.175567349675677,0.00284980193900787,0.00284985765355764,0.000178637123814681,-0.000232249874587702,0.00349299452654773,0.000225613147084567,0.000887730526614692,0.882368267319194,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.423180197272449,1,0.532102691869423,0,1,-1,0.999980449676514
1856,0.0460147584186734,0.0635510690944715,9.8529313378382,0.000345340457483855,0.00334160099009837,0.0621607487196071,0,0.000918089909991202,0.228663392728389,9.85324373211834,0.00375952723199384,0.00677675901883038,1.61547897720269e-08,0.00378089290784999,0.175682759258888,0.00284980193900787,0.00284993477064789,0.000178637123814681,-0.000232253016904889,0.00349307792827235,0.000241302684948842,0.000918089909991202,0.882370176343935,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.338362769553849,1,0.533417949050566,0,1,-1,0.999953389167786
1857,0.0575754380379211,0.0884241812828234,9.77424724396466,0.00340920323623676,3.45092037687443e-05,0.0602910651166246,0,0.000917300041987411,0.216615288031469,9.77481677337491,0.00498256237599995,0.0112771447732056,1.61286072760535e-08,0.0037741800819819,0.175526731076213,0.00284980193900787,0.00284986037134056,0.000178637123814681,-0.00023224998533088,0.003492997465817,0.000240893208559284,0.000917300041987411,0.88236833459899,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.292246653133501,1,0.532102691869423,0,1,-1,0.999979496002197
1858,0.0483625359083725,0.0880433078043452,9.77461966189412,0.0017001700077261,0.00173225641086787,0.0621600498573882,0,0.000932199069910504,0.231259146774302,9.77513580947169,0.00402363629259088,0.0078502851692895,1.61024868769565e-08,0.00377895923231286,0.175637828483475,0.00284980193900787,0.00284987633831519,0.000178637123814681,-0.000232250635945989,0.00349301473402185,0.000248780830346355,0.000932199069910504,0.882368729865742,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.292299336189676,1,0.532102691869423,0,1,-1,0.999973893165588
1859,0.0382304063266414,0.0558937759807091,9.75176952234824,0.00214447051585805,-5.761255714348e-05,0.0630100324524685,0,0.00092707632860836,0.228741541504134,9.75200463982464,0.00299923799975981,0.00431445126006628,1.60764284629712e-08,0.00378875458383028,0.175865314509696,0.00284980193900787,0.00284991812422753,0.000178637123814681,-0.000232252338610945,0.0034930599252641,0.000246050894474985,0.00092707632860836,0.882369764270632,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.404743397742904,1,0.533417949050566,0,1,-1,0.999959230422974
1860,0.0187245310530857,0.0839167855674783,9.7801842804487,0.000819001693934179,-0.000690033982398305,0.0601844429816241,0,0.000912281607173256,0.299989630183552,9.78056221259795,0.00100487898725177,0.00063477953545393,1.60504315107807e-08,0.00378048255902276,0.175673225377323,0.00284980193900787,0.00284996194847705,0.000178637123814681,-0.000232254124319317,0.00349310732093036,0.000238257131637442,0.000912281607173256,0.882370849108478,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.292316121608823,1,0.533417949050566,0,1,-1,0.999943852424622
1861,0.0583790531343756,0.061477840079986,9.75407369305944,-0.00159875185590664,0.00297021901011897,0.0544615217197079,0,0.000940373090614842,0.202336037390974,9.75444212901486,0.00505355649827654,0.010837438423654,1.60244965709257e-08,0.00374033020889618,0.17473782597859,0.00284980193900787,0.0028499021572529,0.000178637123814681,-0.000232251688000606,0.00349304265706879,0.000253160821773238,0.000940373090614842,0.882369369013064,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.39603175830915,1,0.528170944989508,0,1,-1,0.999964833259583
1862,0.0251623810472552,0.0948100916091255,9.83543447870323,-0.00123274706377323,0.00168214210504074,0.0586187382969952,0,0.000950751443870298,0.289799651376935,9.83592362128515,0.00161164842288377,0.0015774902450867,1.59986226759428e-08,0.00372533898579719,0.174387300272421,0.00284980193900787,0.00284993612953935,0.000178637123814681,-0.000232253072275736,0.0034930793979055,0.000258776914307606,0.000950751443870298,0.882370209982403,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.291706328219331,1,0.533417949050566,0,1,-1,0.999952912330627
1863,-0.0124412671401752,0.0807373971928502,9.85301356194757,-4.02673985894068e-05,0.00413206125000811,0.0588478958670155,0,0.000976564989993273,0.2560913650367,9.85335219934598,-0.0022442526849071,0.00270392516449173,1.59728101412412e-08,0.00371307955648795,0.174100124992346,0.00284980193900787,0.00284989672168706,0.000178637123814681,-0.000232251466515819,0.00349303677853338,0.000273022942541413,0.000976564989993273,0.882369234456495,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.338974592762826,1,0.532102691869423,0,1,-1,0.999966740608215
1864,0.0677268153292816,0.0605647084143645,9.83288460474445,-0.00201353719200984,0.000428667756544212,0.0581575388838608,0,0.000981300559936006,0.212777740628331,9.83330436097858,0.00591733629967956,0.0156242396208322,1.59470588531368e-08,0.00369675244951839,0.173716927835133,0.00284980193900787,0.00284984066741442,0.000178637123814681,-0.000232249182441638,0.00349297615611238,0.000275682039010099,0.000981300559936006,0.882367846818162,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.291388433592965,1,0.532102691869423,0,1,-1,0.999986410140991
1865,0.0604859637325409,0.0861630160940103,9.80355030891683,-0.00136075081776838,0.000943180080443428,0.0583043063575549,0,0.000990956785661662,0.237454987645148,9.80411552750244,0.00518949097533236,0.0134078041371644,1.59213683533679e-08,0.00368202149560686,0.173370465568633,0.00284980193900787,0.00284985969189483,0.000178637123814681,-0.00023224995764509,0.00349299673099969,0.000281132628133851,0.000990956785661662,0.882368317779051,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.291224139110328,1,0.532102691869423,0,1,-1,0.999979734420776
1866,0.0799005700749151,0.0949736158897131,9.81325271771984,-0.00291371875680919,0.00266830480428688,0.0642996474300567,0,0.00102016016875615,0.209503817297769,9.81403754785202,0.00713477867860138,0.0223658569527551,1.58957386861789e-08,0.00370542313418412,0.173920533910717,0.00284980193900787,0.00284987905609811,0.000178637123814681,-0.000232250746688805,0.0034930176732904,0.000297944890996276,0.00102016016875615,0.882368797144839,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.291484984813933,1,0.532102691869423,0,1,-1,0.999972939491272
1867,0.0549801501528221,0.0635437620544468,9.8177103136075,-0.000442135715032682,0.000165202168124031,0.0613087667336438,0,0.00102114671009379,0.245728074719096,9.81806989323879,0.00458870603591511,0.0108475290963357,1.58701694041901e-08,0.00370810136018227,0.173983376174741,0.00284980193900787,0.00284993646926221,0.000178637123814681,-0.000232253086118446,0.00349307976531378,0.000298516115746844,0.00102114671009379,0.882370218392016,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.291514784992059,1,0.533417949050566,0,1,-1,0.999952793121338
1868,0.102666362520893,0.097545559398442,9.76229954591317,0.00114014342044555,-0.00286745421276756,0.0555171039283199,0,0.000995521260268206,0.162842299633505,9.76332668419367,0.00953422550852258,0.0310561145740546,1.58446608417704e-08,0.00367727984463663,0.173258797688965,0.00284980193900787,0.00284985323716041,0.000178637123814681,-0.000232249694629923,0.00349298975023493,0.000283729025995378,0.000995521260268206,0.882368157989308,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.356358195345505,1,0.437212029044425,0,1,-1,0.999981999397278
1869,0.132936548448082,0.0915975960645844,9.76526414264805,-0.00156307473616197,-0.0012215209207727,0.0609622359438413,0,0.000988525150106154,0.142340261199642,9.7665984877646,0.0126395148698139,0.0477171910538447,1.58192126017424e-08,0.00367943232876796,0.173309498515392,0.00284980193900787,0.0028499232200705,0.000178637123814681,-0.000232252546252159,0.00349306543638949,0.000279749117268879,0.000988525150106154,0.882369890415926,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.339252748394748,1,0.459634787724987,0,1,-1,0.99995744228363
1870,0.11398581402321,0.0459973955851315,9.75496269247838,0.000222051311629384,0.00223281667635172,0.0568424719113217,0,0.00101452755618838,0.15154834189055,9.75573706379196,0.0106839617839717,0.0362966796950305,1.57938243942948e-08,0.00365726578183379,0.172786662888409,0.00284980193900787,0.00284989332445842,0.000178637123814681,-0.000232251328087721,0.00349303310444854,0.000294662584489894,0.00101452755618838,0.882369150358433,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.39104062568891,1,0.446352357443121,0,1,-1,0.999967932701111
1871,0.101916133886896,0.0700007965834179,9.79409041445475,-0.000528597751345135,0.000377182290830668,0.0604765357180542,0,0.00102247221412698,0.178149775246419,9.79487080345541,0.00939763416333592,0.0330044333023797,1.57684959654395e-08,0.00365729414546812,0.172787332903731,0.00284980193900787,0.00284988856833832,0.000178637123814681,-0.000232251134288244,0.00349302796072948,0.000299296037825988,0.00102247221412698,0.88236903262088,0,1,1,0,0,0,0,0,0,1,224,0,0,0,0,0,0,0,1,1,1,0.290947614106734,1,0.471075978650228,0,1,-1,0.999969601631165
