path_id,model_seed,sensor_seed,case_status,safety_status,theta_sched_mae_deg,ey_rmse,epsi_rmse,xy_rmse,j_du,omega_cmd_rms,active_fraction,active_improve_fraction,active_degrade_fraction,fallback_fraction,safety_failure_count,case_metrics_path
p05_factory_flat_logistics,21,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0,0.01181826582421746,0.008844808660793077,0.23670735879857313,0.01974763167843345,0.04163913968644698,0,,,1,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed21\p05_factory_flat_logistics\attempts\20260801_230038_130\case_metrics.json
p06_downhill_after_turn,21,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.3021947061134624,0.009102075637971689,0.0028737998780822244,0.1260721807290106,0.5491233080667928,0.06977193846758356,0.24473684210526317,0.7301075268817204,0.2698924731182796,0.7552631578947369,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed21\p06_downhill_after_turn\attempts\20260801_230749_103\case_metrics.json
p01_factory_logistics_showcase,42,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.40741676503688046,0.016599843339488045,0.012275201357072593,0.7804807640067877,0.11346387956547627,0.038425626455512604,0.05975917337889513,0.9407760381211708,0.05922396187882913,0.9402408266211049,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed42\p01_factory_logistics_showcase\attempts\20260801_205613_566\case_metrics.json
p02_sharp_turn_transition,42,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.5612912683746613,0.022785991450010108,0.032963173522875734,0.39300819388869696,0.7207109721470804,0.0783952110169774,0.5576923076923077,0.9886206896551725,0.011379310344827587,0.4423076923076923,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed42\p02_sharp_turn_transition\attempts\20260801_210958_544\case_metrics.json
p03_long_updown,42,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.9237453721255389,0.026330970186069797,0.028301327417674684,0.5636564521269444,1.6408836760546193,0.05506028424237306,0.5845454545454546,0.9848367029548989,0.015163297045101089,0.41545454545454547,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed42\p03_long_updown\attempts\20260801_211217_281\case_metrics.json
p04_soft_updown_straight_turn,42,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.016472772012780336,0.003020829266701281,0.00791705665506756,0.27597155572013143,0.29928517212050093,0.033340807259599155,0,,,1,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed42\p04_soft_updown_straight_turn\attempts\20260801_211413_378\case_metrics.json
p05_factory_flat_logistics,42,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0,0.004111214803725567,0.007853616341355502,0.23686520659781513,0.01881574856801916,0.040751372575074954,0,,,1,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed42\p05_factory_flat_logistics\attempts\20260801_230918_896\case_metrics.json
p06_downhill_after_turn,42,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.38261703529137137,0.013179906985498452,0.007512124382793619,0.08375364469610064,0.5624390161340947,0.06970826112110959,0.4307894736842105,0.9951130116065975,0.004886988393402566,0.5692105263157895,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed42\p06_downhill_after_turn\attempts\20260801_231627_913\case_metrics.json
p01_factory_logistics_showcase,73,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.37876849711304156,0.0169641934115463,0.011943646256062467,0.7223846835552133,0.11888354511014303,0.039246292901923475,0.24066390041493776,0.579107505070994,0.4208924949290061,0.7593360995850622,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed73\p01_factory_logistics_showcase\attempts\20260801_231757_377\case_metrics.json
p02_sharp_turn_transition,73,4631,COMPLETE,PASS_NODE53_V7_CASE_SAFETY,0.5126782164298469,0.0269766748676657,0.02780184213986646,0.2935445220355681,0.6376986897602737,0.08498084453099064,0.47673076923076924,0.9770068576038725,0.022993142396127472,0.5232692307692308,0,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\53_moderntcn_fuzzyakf6d_fusion_rebuild\08_formal_six_path_exploratory_v7\cases\V7\seed73\p02_sharp_turn_transition\attempts\20260801_232714_126\case_metrics.json
