t_s,e_y,e_psi,e_v,e_omega,xy_error,X,Y,X_ref,Y_ref,F_cmd,omega_cmd,F_limit_lo,F_limit_hi,omega_limit_lo,omega_limit_hi,theta_true,theta_ref,theta_imu_raw,theta_sched,solve_time_ms
57.6,0.00695576017517767,-0.0153882127511769,0.000965078244759554,-0.00137107287708559,0.25621569671376,39.7754555067712,-23.9576899999767,40.0183278360432,-24.0392958509708,29.6764234905252,0.060602553688793,-643.573484177966,676.426515822034,-1.48021901360932,1.55578098639068,0,0,0,0,0.0260972
57.61,0.00682170698584629,-0.014819430856817,0.000965481268086932,-0.00420582290669425,0.256203129613991,39.7838392554829,-23.9603960558103,40.0267460913173,-24.0418596226911,29.6298226001793,0.0611514719446379,-643.573484177966,676.426515822034,-1.48021901360932,1.55578098639068,0,0,0,0,0.0267757
57.62,0.00669229624408643,-0.0142324884922093,0.000963736141679439,-0.00041706479824162,0.256190703673128,39.7922244227817,-23.9630976907998,40.0351643465913,-24.0444233944114,29.6401128339469,0.0604603764220403,-643.573484177966,676.426515822034,-1.48021901360932,1.55578098639068,0,0,0,0,0.0259567
57.63,0.0065675974521425,-0.0136831779232041,0.000962465402830293,-0.00124894121625006,0.256178422818972,39.8006110196123,-23.9657948356105,40.0435826018653,-24.0469871661318,29.6476332071591,0.0604001360259164,-643.573484177966,676.426515822034,-1.48021901360932,1.55578098639068,0,0,0,0,0.0257772
57.64,0.00644774722842961,-0.0131180888516595,0.0009615413587577,-0.0049152839976328,0.256166279497141,39.8089990892513,-23.9684873606135,40.0520008571393,-24.0495509378521,29.6152959782751,0.0607004236760506,-643.573484177966,676.426515822034,-1.48021901360932,1.55578098639068,0,0,0,0,0.0257939
57.65,0.00697644657547553,-0.0152888923340701,0.000959126703370394,-0.00180918387526842,0.256154274775749,39.8173886274922,-23.9711752514268,40.0604191124133,-24.0521147095724,29.6253489598287,0.0603809360989064,-643.625625398479,676.374374601521,-1.4803389384165,1.5556610615835,0,0,0,0,0.0258738
57.66,0.00684208098918322,-0.0147130408028388,0.000957175515688857,-0.00270615727510502,0.256141762666331,39.8257796227425,-23.9738585186557,40.0688443862192,-24.0546553214257,29.6331647748714,0.0606230605651464,-643.625625398479,676.374374601521,-1.4803389384165,1.5556610615835,0,0,0,0,0.0257406
57.67,0.00671267699161408,-0.0141181806009728,0.000955584658554165,0.00113154736011992,0.256129406952729,39.8341721111033,-23.9765370539523,40.077269660025,-24.057195933279,29.6727575686648,0.0599066676338654,-643.625625398479,676.374374601521,-1.4803389384165,1.5556610615835,0,0,0,0,0.0250398
57.68,0.00658826542316576,-0.0136025860516985,0.000955818931710817,0.00172770821182922,0.256117191657884,39.842566109724,-23.9792108302882,40.0856949338309,-24.0597365451322,29.7020297461543,0.0596354499418769,-643.625625398479,676.374374601521,-1.4803389384165,1.5556610615835,0,0,0,0,0.0254212
57.69,0.00646887152317779,-0.0131003437647023,0.000957402545081143,-0.000944539541775036,0.256105096069649,39.8509616387414,-23.9818798273928,40.0941202076367,-24.0622771569855,29.6864698049733,0.059820073204489,-643.625625398479,676.374374601521,-1.4803389384165,1.5556610615835,0,0,0,0,0.0255649
57.7,0.00699788416049771,-0.0152949492682098,0.000958268859642897,-0.00448992922652898,0.256093110682448,39.8593586591748,-23.9845441691042,40.1025454814425,-24.0648177688387,29.6283783133961,0.0599514744142172,-643.761331328421,676.238668671579,-1.48065106205537,1.55534893794463,0,0,0,0,0.0265419
57.71,0.00686395018349706,-0.0147108687628987,0.000956457336010241,-0.000722448923208337,0.256080598241475,39.8677571244633,-23.9872039372031,40.1109777100641,-24.0673352016115,29.6420694205565,0.0596619476689259,-643.761331328421,676.238668671579,-1.48065106205537,1.55534893794463,0,0,0,0,0.0310827
57.72,0.00673481218153822,-0.014160820293325,0.000955276970076691,-0.00246025068923257,0.256068237761953,39.8761570223289,-23.9898591279328,40.1194099386857,-24.0698526343843,29.6440315508637,0.0598756753422524,-643.761331328421,676.238668671579,-1.48065106205537,1.55534893794463,0,0,0,0,0.0252399
57.73,0.00661058304448908,-0.0135756003642273,0.000954187080916546,-0.000670064688047603,0.256056021645898,39.8845583876946,-23.9925096339098,40.1278421673073,-24.0723700671572,29.6593561230814,0.0594191115148962,-643.761331328421,676.238668671579,-1.48065106205537,1.55534893794463,0,0,0,0,0.0258157
57.74,0.0064912586553734,-0.0130281517275725,0.0009538036285901,-0.00166146238582036,0.256043940782467,39.89296122052,-23.9951554594202,40.1362743959289,-24.07488749993,29.6593325908882,0.0593288432744404,-643.761331328421,676.238668671579,-1.48065106205537,1.55534893794463,0,0,0,0,0.0264998
57.75,0.00702023796011987,-0.0152120167275012,0.000953419101048625,-0.00445270195005547,0.256031987430896,39.9013655365628,-23.9977965569827,40.1447066245505,-24.0774049327028,29.6233426492083,0.0594514708998278,-643.880717912487,676.119282087513,-1.48092565119872,1.55507434880128,0,0,0,0,0.0251875
57.76,0.00688657795670196,-0.0146274066401935,0.000951375571358604,-0.00051984298015486,0.256019514166925,39.9097713188384,-24.000432943684,40.1531457442192,-24.0798991673571,29.6488483164114,0.0590988103401716,-643.880717912487,676.119282087513,-1.48092565119872,1.55507434880128,0,0,0,0,0.0256204
57.77,0.00675783799773173,-0.014084963824225,0.000950507815453583,4.3603177254832e-05,0.25600719422539,39.918178558412,-24.0030646307504,40.1615848638878,-24.0823934020114,29.6762383737489,0.0589538414685623,-643.880717912487,676.119282087513,-1.48092565119872,1.55507434880128,0,0,0,0,0.0256307
57.78,0.00663408598389355,-0.013554418586944,0.000950902667949949,0.00479601383710371,0.255995010866157,39.9265872845891,-24.0056915560539,40.1700239835564,-24.0848876366656,29.7330783938644,0.0580719820325132,-643.880717912487,676.119282087513,-1.48092565119872,1.55507434880128,0,0,0,0,0.0255669
