sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,rkf_innovation_norm_mps2,rkf_external_accel_variance_max_m2ps4,rkf_covariance_updated,rkf_anomaly_detected,rkf_observer_valid,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,evaluation_sample,rkf_locally_better,mtcn_locally_better,near_tie
99,99.0,0.99,0.0,0.0,0.0,0.0442676298755086,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
100,100.0,1.0,0.0,0.0,0.0,0.0564679084253903,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
101,101.0,1.01,0.0,0.0,0.0,0.0855739569351323,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
102,102.0,1.02,0.0,0.0,0.0,0.0457074213803487,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
103,103.0,1.03,0.0,0.0,0.0,0.0825565494944906,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
104,104.0,1.04,0.0,0.0,0.0,0.108704052130893,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
105,105.0,1.05,0.0,0.0,0.0,0.10532445923112,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
106,106.0,1.06,0.0,0.0,0.0,0.0461406880430488,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
107,107.0,1.07,0.0,0.0,0.0,0.0536994321713855,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
108,108.0,1.08,0.0,0.0,0.0,0.0484830024319306,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
109,109.0,1.09,0.0,0.0,0.0,0.033091903471953,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
110,110.0,1.1,0.0,0.0,0.0,0.0598746658347412,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
111,111.0,1.11,0.0,0.0,0.0,0.0696999506103071,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
112,112.0,1.12,0.0,0.0,0.0,0.0719297942253364,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
113,113.0,1.13,0.0,0.0,0.0,0.0591986392185867,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
114,114.0,1.14,0.0,0.0,0.0,0.0643340805480241,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
115,115.0,1.15,0.0,0.0,0.0,0.10488414116946,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
116,116.0,1.16,0.0,0.0,0.0,0.0961480442983905,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
117,117.0,1.17,0.0,0.0,0.0,0.0425529757219758,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
118,118.0,1.18,0.0,0.0,0.0,0.0228013850765209,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
119,119.0,1.19,0.0,0.0,0.0,0.047255154044668,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
120,120.0,1.2,0.0,0.0,0.0,0.090123276383604,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
121,121.0,1.21,0.0,0.0,0.0,0.0686620007786689,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
122,122.0,1.22,0.0,0.0,0.0,0.0573430245592862,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
123,123.0,1.23,0.0,0.0,0.0,0.0560814664459003,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
124,124.0,1.24,0.0,0.0,0.0,0.0440702210898956,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
125,125.0,1.25,0.0,0.0,0.0,0.0687295444665431,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
126,126.0,1.26,0.0,0.0,0.0,0.0853418369697509,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
127,127.0,1.27,0.0,0.0,0.0,0.013372607056425,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
128,128.0,1.28,0.0,0.0,0.0,0.0570452574183594,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
129,129.0,1.29,0.0,0.0,0.0,0.0786412890142957,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
130,130.0,1.3,0.0,0.0,0.0,0.0788657792443732,0.0573132181025428,0,0,1,0.0,0.0,0.0,1,0,0,1
