t_s,reference_grade_deg,mtcn_delta_grade_deg,rkf_ra_x2_qg_x05_grade_deg,fused_grade_deg,K_eff,Kmax,target_correction_deg,applied_correction_deg,NIS,fallback,rate_limit_active,fallback_reason
0.58,0.0,0.0,0.19156935106192577,0.0,0.0,0.5,0.0,0.0,0.003468306455613966,1,0,TCN_NOT_READY
0.59,0.0,0.0,0.1914766547740562,0.0,0.0,0.5,0.0,0.0,0.003464950789912846,1,0,TCN_NOT_READY
0.6,0.0,0.0,0.19159438342200344,0.0,0.0,0.5,0.0,0.0,0.0034692129217887657,1,0,TCN_NOT_READY
0.61,0.0,0.0,0.19326355178043844,0.0,0.0,0.5,0.0,0.0,0.003529923727565964,1,0,TCN_NOT_READY
0.62,0.0,0.0,0.19285550624346814,0.0,0.0,0.5,0.0,0.0,0.0035150337076643953,1,0,TCN_NOT_READY
0.63,0.0,0.0,0.19320404493916404,0.0,0.0,0.5,0.0,0.0,0.003527750298892168,1,0,TCN_NOT_READY
0.64,0.0,0.0,0.19291913484187906,0.0,0.0,0.5,0.0,0.0,0.0035173535124544005,1,0,TCN_NOT_READY
0.65,0.0,0.0,0.19406204207744546,0.0,0.0,0.5,0.0,0.0,0.0035591525451349475,1,0,TCN_NOT_READY
0.66,0.0,0.0,0.1928352801889918,0.0,0.0,0.5,0.0,0.0,0.0035142964558583885,1,0,TCN_NOT_READY
0.67,0.0,0.0,0.19209552948385425,0.0,0.0,0.5,0.0,0.0,0.003487385230746286,1,0,TCN_NOT_READY
0.68,0.0,0.0,0.19452793338990748,0.0,0.0,0.5,0.0,0.0,0.00357626221434235,1,0,TCN_NOT_READY
0.69,0.0,0.0,0.19578073061662074,0.0,0.0,0.5,0.0,0.0,0.003622474173754158,1,0,TCN_NOT_READY
0.7,0.0,0.0,0.19805772906924446,0.0,0.0,0.5,0.0,0.0,0.003707225454094733,1,0,TCN_NOT_READY
0.71,0.0,0.0,0.1981702754675447,0.0,0.0,0.5,0.0,0.0,0.00371143991642815,1,0,TCN_NOT_READY
0.72,0.0,0.0,0.198527465664436,0.0,0.0,0.5,0.0,0.0,0.003724831275856028,1,0,TCN_NOT_READY
0.73,0.0,0.0,0.1993436562261264,0.0,0.0,0.5,0.0,0.0,0.0037555214529850574,1,0,TCN_NOT_READY
0.74,0.0,0.0,0.1989955489487656,0.0,0.0,0.5,0.0,0.0,0.0037424166178072677,1,0,TCN_NOT_READY
0.75,0.0,0.0,0.19659359248148026,0.0,0.0,0.5,0.0,0.0,0.003652616914403435,1,0,TCN_NOT_READY
0.76,0.0,0.0,0.1961675865242717,0.0,0.0,0.5,0.0,0.0,0.0036368040831854433,1,0,TCN_NOT_READY
0.77,0.0,0.0,0.1972782252456734,0.0,0.0,0.5,0.0,0.0,0.0036781015245669194,1,0,TCN_NOT_READY
0.78,0.0,0.0,0.1979623644102153,0.0,0.0,0.5,0.0,0.0,0.0037036562606195377,1,0,TCN_NOT_READY
0.79,0.0,0.0,0.19834437464396815,0.0,0.0,0.5,0.0,0.0,0.0037179640277479977,1,0,TCN_NOT_READY
0.8,0.0,0.0,0.1990096805648958,0.0,0.0,0.5,0.0,0.0,0.003742948170127691,1,0,TCN_NOT_READY
0.81,0.0,0.0,0.19921418637791194,0.0,0.0,0.5,0.0,0.0,0.0037506447600996287,1,0,TCN_NOT_READY
0.82,0.0,0.0,0.1981750114014841,0.0,0.0,0.5,0.0,0.0,0.0037116173128036124,1,0,TCN_NOT_READY
0.83,0.0,0.0,0.19791084035685563,0.0,0.0,0.5,0.0,0.0,0.0037017285957337623,1,0,TCN_NOT_READY
0.84,0.0,0.0,0.19838021538358133,0.0,0.0,0.5,0.0,0.0,0.0037193078180155098,1,0,TCN_NOT_READY
0.85,0.0,0.0,0.19917286470695067,0.0,0.0,0.5,0.0,0.0,0.0037490889789783028,1,0,TCN_NOT_READY
0.86,0.0,0.0,0.19876534742828403,0.0,0.0,0.5,0.0,0.0,0.0037337630404247445,1,0,TCN_NOT_READY
0.87,0.0,0.0,0.19817600411324784,0.0,0.0,0.5,0.0,0.0,0.0037116544978691894,1,0,TCN_NOT_READY
0.88,0.0,0.0,0.19839370286764377,0.0,0.0,0.5,0.0,0.0,0.003719813572181586,1,0,TCN_NOT_READY
0.89,0.0,0.0,0.19808954382245308,0.0,0.0,0.5,0.0,0.0,0.00370841656071193,1,0,TCN_NOT_READY
0.9,0.0,0.0,0.1979815739566099,0.0,0.0,0.5,0.0,0.0,0.0037043750741054516,1,0,TCN_NOT_READY
0.91,0.0,0.0,0.19592976737671217,0.0,0.0,0.5,0.0,0.0,0.0036279914409884173,1,0,TCN_NOT_READY
0.92,0.0,0.0,0.19701965552932657,0.0,0.0,0.5,0.0,0.0,0.003668466174230428,1,0,TCN_NOT_READY
0.93,0.0,0.0,0.19688909782605102,0.0,0.0,0.5,0.0,0.0,0.003663605869030776,1,0,TCN_NOT_READY
0.94,0.0,0.0,0.19638023862690843,0.0,0.0,0.5,0.0,0.0,0.0036446931868880155,1,0,TCN_NOT_READY
0.95,0.0,0.0,0.1965428264891847,0.0,0.0,0.5,0.0,0.0,0.0036507307412241307,1,0,TCN_NOT_READY
0.96,0.0,0.0,0.19457262688492047,0.0,0.0,0.5,0.0,0.0,0.003577905721432215,1,0,TCN_NOT_READY
0.97,0.0,0.0,0.19445923209116228,0.0,0.0,0.5,0.0,0.0,0.0035737366081866596,1,0,TCN_NOT_READY
0.98,0.0,0.0,0.19380886082705098,0.0,0.0,0.5,0.0,0.0,0.0035498717721490283,1,0,TCN_NOT_READY
0.99,0.0,0.0,0.1930683527463303,0.0,0.0,0.5,0.0,0.0,0.003522796778623575,1,0,TCN_NOT_READY
1.0,0.0,0.0,0.19462332042900615,0.0,0.0,0.5,0.0,0.0,0.0035797703244042083,1,0,TCN_NOT_READY
1.01,0.0,0.0,0.19482133964333206,0.0,0.0,0.5,0.0,0.0,0.00358705849440884,1,0,TCN_NOT_READY
