metric,panel,metric_label,unit,path_id,path_label,model_seed,moderntcn,fusion,effect_moderntcn_minus_fusion
epsi_rmse,b,Heading-error RMS,rad,p04_soft_updown_straight_turn,P4 Mild grade and turn,1,0.0085643807303006,0.0085643807303006,0.0
epsi_rmse,b,Heading-error RMS,rad,p05_factory_flat_logistics,P5 Flat logistics,1,0.0079235629262523,0.0079235629262523,0.0
epsi_rmse,b,Heading-error RMS,rad,p06_downhill_after_turn,P6 Downhill after turn,1,0.0205892014584446,0.014842160706944,0.0057470407515005
epsi_rmse,b,Heading-error RMS,rad,p01_factory_logistics_showcase,P1 Factory logistics,7,0.0455795259115249,0.0225688527199563,0.0230106731915685
epsi_rmse,b,Heading-error RMS,rad,p02_sharp_turn_transition,P2 Sharp-turn transition,7,0.0346436740034852,0.0345567641305535,8.690987293168834e-05
epsi_rmse,b,Heading-error RMS,rad,p03_long_updown,P3 Long up/down,7,0.0227591594318948,0.0286101796188434,-0.0058510201869486
epsi_rmse,b,Heading-error RMS,rad,p04_soft_updown_straight_turn,P4 Mild grade and turn,7,0.0079170566550675,0.0079170566550675,0.0
epsi_rmse,b,Heading-error RMS,rad,p05_factory_flat_logistics,P5 Flat logistics,7,0.0086603493166289,0.0084122294213088,0.0002481198953201
epsi_rmse,b,Heading-error RMS,rad,p06_downhill_after_turn,P6 Downhill after turn,7,0.0175297943591485,0.0104271359362857,0.0071026584228627
epsi_rmse,b,Heading-error RMS,rad,p01_factory_logistics_showcase,P1 Factory logistics,11,0.0466789702190491,0.0241557592415655,0.0225232109774835
epsi_rmse,b,Heading-error RMS,rad,p02_sharp_turn_transition,P2 Sharp-turn transition,11,0.0296120646523687,0.0293268513678773,0.0002852132844914
epsi_rmse,b,Heading-error RMS,rad,p03_long_updown,P3 Long up/down,11,0.0271267901784339,0.0259294512981349,0.0011973388802989
epsi_rmse,b,Heading-error RMS,rad,p04_soft_updown_straight_turn,P4 Mild grade and turn,11,0.0078427207989677,0.0078427207989677,0.0
epsi_rmse,b,Heading-error RMS,rad,p05_factory_flat_logistics,P5 Flat logistics,11,0.0079221402787523,0.0079221402787523,0.0
epsi_rmse,b,Heading-error RMS,rad,p06_downhill_after_turn,P6 Downhill after turn,11,0.0171090267135025,0.0117064353098093,0.0054025914036931
epsi_rmse,b,Heading-error RMS,rad,p01_factory_logistics_showcase,P1 Factory logistics,21,0.0151207163346209,0.0113914433724058,0.0037292729622151
epsi_rmse,b,Heading-error RMS,rad,p02_sharp_turn_transition,P2 Sharp-turn transition,21,0.0284601688841189,0.0269875786399801,0.0014725902441387
epsi_rmse,b,Heading-error RMS,rad,p03_long_updown,P3 Long up/down,21,0.025065270514562,0.028395760160284,-0.003330489645722
epsi_rmse,b,Heading-error RMS,rad,p04_soft_updown_straight_turn,P4 Mild grade and turn,21,0.0075571225154113,0.0075571225154113,0.0
epsi_rmse,b,Heading-error RMS,rad,p05_factory_flat_logistics,P5 Flat logistics,21,0.008844808660793,0.008844808660793,0.0
epsi_rmse,b,Heading-error RMS,rad,p06_downhill_after_turn,P6 Downhill after turn,21,0.0036224870547021,0.0028737998780822,0.0007486871766199
epsi_rmse,b,Heading-error RMS,rad,p01_factory_logistics_showcase,P1 Factory logistics,42,0.0088549679558574,0.0122752013570725,-0.0034202334012151
epsi_rmse,b,Heading-error RMS,rad,p02_sharp_turn_transition,P2 Sharp-turn transition,42,0.0335373117578331,0.0329631735228757,0.0005741382349574
epsi_rmse,b,Heading-error RMS,rad,p03_long_updown,P3 Long up/down,42,0.0310770047010231,0.0283013274176746,0.0027756772833485
epsi_rmse,b,Heading-error RMS,rad,p04_soft_updown_straight_turn,P4 Mild grade and turn,42,0.0079170566550675,0.0079170566550675,0.0
epsi_rmse,b,Heading-error RMS,rad,p05_factory_flat_logistics,P5 Flat logistics,42,0.0078536163413555,0.0078536163413555,0.0
epsi_rmse,b,Heading-error RMS,rad,p06_downhill_after_turn,P6 Downhill after turn,42,0.012589613068444,0.0075121243827936,0.0050774886856504
epsi_rmse,b,Heading-error RMS,rad,p01_factory_logistics_showcase,P1 Factory logistics,73,0.0114027566712209,0.0119436462560624,-0.0005408895848414
epsi_rmse,b,Heading-error RMS,rad,p02_sharp_turn_transition,P2 Sharp-turn transition,73,0.0279583198342008,0.0278018421398664,0.0001564776943344
epsi_rmse,b,Heading-error RMS,rad,p03_long_updown,P3 Long up/down,73,0.0216526959782797,0.0275234326278024,-0.0058707366495227
epsi_rmse,b,Heading-error RMS,rad,p04_soft_updown_straight_turn,P4 Mild grade and turn,73,0.0085278932611408,0.0085278932611408,0.0
epsi_rmse,b,Heading-error RMS,rad,p05_factory_flat_logistics,P5 Flat logistics,73,0.0054267641481733,0.0058831526911831,-0.0004563885430098
epsi_rmse,b,Heading-error RMS,rad,p06_downhill_after_turn,P6 Downhill after turn,73,0.0211234802367356,0.009824987276501,0.0112984929602346
epsi_rmse,b,Heading-error RMS,rad,p01_factory_logistics_showcase,P1 Factory logistics,101,0.0441159847822268,0.0385761842199267,0.0055398005623
epsi_rmse,b,Heading-error RMS,rad,p02_sharp_turn_transition,P2 Sharp-turn transition,101,0.0304787094790315,0.0322978140394708,-0.0018191045604393
epsi_rmse,b,Heading-error RMS,rad,p03_long_updown,P3 Long up/down,101,0.0276572172856442,0.0223453653833309,0.0053118519023133
epsi_rmse,b,Heading-error RMS,rad,p04_soft_updown_straight_turn,P4 Mild grade and turn,101,0.0078150937953662,0.0077981958288315,1.6897966534744693e-05
epsi_rmse,b,Heading-error RMS,rad,p05_factory_flat_logistics,P5 Flat logistics,101,0.0683246651496315,0.0626231986694996,0.0057014664801319
epsi_rmse,b,Heading-error RMS,rad,p06_downhill_after_turn,P6 Downhill after turn,101,0.0222340091951565,0.016249466474873,0.0059845427202835
epsi_rmse,b,Heading-error RMS,rad,p01_factory_logistics_showcase,P1 Factory logistics,202,0.0299076960760679,0.0161107994177336,0.0137968966583343
epsi_rmse,b,Heading-error RMS,rad,p02_sharp_turn_transition,P2 Sharp-turn transition,202,0.0361529688728661,0.0357258007411155,0.0004271681317506
epsi_rmse,b,Heading-error RMS,rad,p03_long_updown,P3 Long up/down,202,0.0256710915419293,0.0264286678817964,-0.0007575763398671
epsi_rmse,b,Heading-error RMS,rad,p04_soft_updown_straight_turn,P4 Mild grade and turn,202,0.0077327364041794,0.0077327364041794,0.0
epsi_rmse,b,Heading-error RMS,rad,p05_factory_flat_logistics,P5 Flat logistics,202,0.0080080938982773,0.0080080938982773,0.0
epsi_rmse,b,Heading-error RMS,rad,p06_downhill_after_turn,P6 Downhill after turn,202,0.0374798386967801,0.0314342925686144,0.0060455461281657
epsi_rmse,b,Heading-error RMS,rad,p01_factory_logistics_showcase,P1 Factory logistics,340,0.0136646907850418,0.0137781451841881,-0.0001134543991462
epsi_rmse,b,Heading-error RMS,rad,p02_sharp_turn_transition,P2 Sharp-turn transition,340,0.0256821246325019,0.028302128258361,-0.0026200036258591
epsi_rmse,b,Heading-error RMS,rad,p03_long_updown,P3 Long up/down,340,0.0231831250842026,0.026276417134437,-0.0030932920502344
epsi_rmse,b,Heading-error RMS,rad,p04_soft_updown_straight_turn,P4 Mild grade and turn,340,0.0078914701745813,0.0078914701745813,0.0
epsi_rmse,b,Heading-error RMS,rad,p05_factory_flat_logistics,P5 Flat logistics,340,0.0077548058611904,0.0077548058611904,0.0
epsi_rmse,b,Heading-error RMS,rad,p06_downhill_after_turn,P6 Downhill after turn,340,0.0123314856937369,0.0063263272125505,0.0060051584811864
epsi_rmse,b,Heading-error RMS,rad,p01_factory_logistics_showcase,P1 Factory logistics,520,0.1062819264986675,0.0501823821801069,0.0560995443185605
epsi_rmse,b,Heading-error RMS,rad,p02_sharp_turn_transition,P2 Sharp-turn transition,520,0.0423453755812474,0.0427852381782328,-0.0004398625969853
epsi_rmse,b,Heading-error RMS,rad,p03_long_updown,P3 Long up/down,520,0.0340539653785151,0.0377569904238756,-0.0037030250453605
epsi_rmse,b,Heading-error RMS,rad,p04_soft_updown_straight_turn,P4 Mild grade and turn,520,0.0093658216133885,0.0093658216133885,0.0
epsi_rmse,b,Heading-error RMS,rad,p05_factory_flat_logistics,P5 Flat logistics,520,0.0103787840849951,0.0103787840849951,0.0
epsi_rmse,b,Heading-error RMS,rad,p06_downhill_after_turn,P6 Downhill after turn,520,0.0256140900502029,0.016792652300812,0.0088214377493909
j_du,c,Input-increment index,,p01_factory_logistics_showcase,P1 Factory logistics,1,0.2140556146441555,0.2003611761146478,0.0136944385295076
j_du,c,Input-increment index,,p02_sharp_turn_transition,P2 Sharp-turn transition,1,1.4172568570378634,0.7461041399318977,0.6711527171059657
j_du,c,Input-increment index,,p03_long_updown,P3 Long up/down,1,1.7647655233542832,1.86227087520438,-0.0975053518500965
j_du,c,Input-increment index,,p04_soft_updown_straight_turn,P4 Mild grade and turn,1,0.3002783069731933,0.3002783069731933,0.0
j_du,c,Input-increment index,,p05_factory_flat_logistics,P5 Flat logistics,1,0.0202511348319928,0.0202511348319928,0.0
j_du,c,Input-increment index,,p06_downhill_after_turn,P6 Downhill after turn,1,0.4980563057331376,0.5101392032650621,-0.0120828975319244
j_du,c,Input-increment index,,p01_factory_logistics_showcase,P1 Factory logistics,7,0.5594498707336585,0.1843076217923858,0.3751422489412726
