path_id,model_seed,moderntcn_ey_rmse,fusion_ey_rmse,effect_moderntcn_minus_fusion_ey_rmse,moderntcn_epsi_rmse,fusion_epsi_rmse,effect_moderntcn_minus_fusion_epsi_rmse,moderntcn_j_du,fusion_j_du,effect_moderntcn_minus_fusion_j_du
p03_long_updown,21,0.027424649305608003,0.023150315950506678,0.004274333355101325,0.025065270514562005,0.028395760160284042,-0.0033304896457220373,1.838009432778998,1.807422744731336,0.03058668804766196
p04_soft_updown_straight_turn,21,0.0044615225629186985,0.0044615225629186985,0.0,0.007557122515411353,0.007557122515411353,0.0,0.3006556506312875,0.3006556506312875,0.0
p05_factory_flat_logistics,21,0.01181826582421746,0.01181826582421746,0.0,0.008844808660793077,0.008844808660793077,0.0,0.01974763167843345,0.01974763167843345,0.0
p06_downhill_after_turn,21,0.011197592481778205,0.009102075637971689,0.0020955168438065164,0.0036224870547021263,0.0028737998780822244,0.0007486871766199019,0.5297716908094144,0.5491233080667928,-0.01935161725737833
p01_factory_logistics_showcase,42,0.01722522148148193,0.016599843339488045,0.0006253781419938848,0.008854967955857456,0.012275201357072593,-0.0034202334012151375,0.13151173001005767,0.11346387956547627,0.018047850444581404
p02_sharp_turn_transition,42,0.03932962666541566,0.022785991450010108,0.016543635215405552,0.03353731175783314,0.032963173522875734,0.0005741382349574026,0.7819041232882494,0.7207109721470804,0.06119315114116908
p03_long_updown,42,0.027662777699650344,0.026330970186069797,0.001331807513580547,0.031077004701023186,0.028301327417674684,0.0027756772833485016,1.811315340376164,1.6408836760546193,0.17043166432154466
p04_soft_updown_straight_turn,42,0.003020829266701281,0.003020829266701281,0.0,0.00791705665506756,0.00791705665506756,0.0,0.29928517212050093,0.29928517212050093,0.0
p05_factory_flat_logistics,42,0.004111214803725567,0.004111214803725567,0.0,0.007853616341355502,0.007853616341355502,0.0,0.01881574856801916,0.01881574856801916,0.0
p06_downhill_after_turn,42,0.017904336764002094,0.013179906985498452,0.004724429778503642,0.012589613068444026,0.007512124382793619,0.005077488685650407,0.5383493556390094,0.5624390161340947,-0.02408966049508532
p01_factory_logistics_showcase,73,0.00942498784812301,0.0169641934115463,-0.007539205563423289,0.01140275667122098,0.011943646256062467,-0.000540889584841487,0.12837632725779635,0.11888354511014303,0.009492782147653325
p02_sharp_turn_transition,73,0.059010749480581486,0.0269766748676657,0.03203407461291578,0.027958319834200863,0.02780184213986646,0.00015647769433440456,0.7450598224798886,0.6376986897602737,0.1073611327196149
p03_long_updown,73,0.022127126037617312,0.03516860824756913,-0.013041482209951816,0.021652695978279728,0.02752343262780245,-0.005870736649522722,1.6671117103610826,1.7456677338311506,-0.07855602347006796
p04_soft_updown_straight_turn,73,0.0035336763535587902,0.0035336763535587902,0.0,0.008527893261140883,0.008527893261140883,0.0,0.30260161159144017,0.30260161159144017,0.0
p05_factory_flat_logistics,73,0.007780611384932198,0.007101423994529064,0.0006791873904031338,0.005426764148173331,0.005883152691183132,-0.00045638854300980147,0.03427797715859029,0.04866404922278262,-0.014386072064192332
p06_downhill_after_turn,73,0.017963153539223484,0.009226398794932271,0.008736754744291213,0.02112348023673569,0.009824987276501003,0.011298492960234687,0.5089260682618394,0.508687250853838,0.0002388174080013572
p01_factory_logistics_showcase,101,0.028887920942132314,0.021406180570427796,0.0074817403717045185,0.0441159847822268,0.03857618421992679,0.00553980056230001,0.27732884768308697,0.30089533019360276,-0.023566482510515796
p02_sharp_turn_transition,101,0.036251245280495024,0.04435567865650276,-0.008104433376007733,0.03047870947903154,0.03229781403947087,-0.0018191045604393323,0.802342190832085,0.7434982324608176,0.058843958371267435
p03_long_updown,101,0.03805813266171842,0.020005638748574268,0.01805249391314415,0.027657217285644266,0.02234536538333092,0.005311851902313345,1.970397462957555,1.9175360913360862,0.052861371621468756
p04_soft_updown_straight_turn,101,0.004043932534950536,0.003925490764011333,0.00011844177093920348,0.007815093795366245,0.007798195828831501,1.6897966534744693e-05,0.36223335211087276,0.3597668554208092,0.0024664966900635465
p05_factory_flat_logistics,101,0.09821592079973929,0.0858240496562285,0.012391871143510785,0.06832466514963156,0.06262319866949964,0.005701466480131923,4.046771533658049,4.763857507759233,-0.7170859741011837
p06_downhill_after_turn,101,0.023387017725272293,0.01834924471265699,0.0050377730126153035,0.02223400919515657,0.016249466474873055,0.005984542720283516,0.4854511935968426,0.5447007159865116,-0.05924952238966902
p01_factory_logistics_showcase,202,0.020129123266424485,0.014434526569110451,0.005694596697314034,0.029907696076067945,0.016110799417733607,0.013796896658334338,0.17129541939826143,0.08769179525411305,0.08360362414414838
p02_sharp_turn_transition,202,0.05601601116854138,0.03517700998553343,0.020839001183007952,0.03615296887286612,0.03572580074111552,0.0004271681317506021,1.0966212873611847,0.6687878489413437,0.427833438419841
p03_long_updown,202,0.03433740101922906,0.03185059371543401,0.002486807303795052,0.025671091541929345,0.026428667881796472,-0.0007575763398671269,1.9025890382981567,1.9044925168594984,-0.0019034785613416538
p04_soft_updown_straight_turn,202,0.0030752066268836405,0.0030752066268836405,0.0,0.007732736404179409,0.007732736404179409,0.0,0.2997621714080531,0.2997621714080531,0.0
p05_factory_flat_logistics,202,0.009208637453958533,0.009208637453958533,0.0,0.008008093898277372,0.008008093898277372,0.0,0.01920114093842521,0.01920114093842521,0.0
p06_downhill_after_turn,202,0.031084953510096103,0.02331291097445317,0.007772042535642933,0.03747983869678016,0.03143429256861443,0.006045546128165734,0.461678213603611,0.4657667223774325,-0.004088508773821498
