model_seed,path_id,ey_fusion_rkf,epsi_fusion_rkf,jdu_fusion_rkf,ey_fusion_r2,epsi_fusion_r2,jdu_fusion_r2,ey_fusion_r2_minus_rkf,epsi_fusion_r2_minus_rkf,jdu_fusion_r2_minus_rkf
42,p02_sharp_turn_transition,0.035673822859471,0.0282523993838392,0.7606691161778947,0.0227859914500101,0.0329631735228757,0.7207109721470804,-0.012887831409460902,0.0047107741390364985,-0.039958144030814324
42,p03_long_updown,0.0269813533484467,0.026978581648236,1.7517736570456646,0.0263309701860697,0.0283013274176746,1.6408836760546193,-0.0006503831623770016,0.0013227457694385998,-0.1108899809910453
42,p04_soft_updown_straight_turn,0.0030208292667012,0.0079170566550675,0.2992851721205009,0.0030208292667012,0.0079170566550675,0.2992851721205009,0.0,0.0,0.0
42,p05_factory_flat_logistics,0.0041112148037255,0.0078536163413555,0.0188157485680191,0.0041112148037255,0.0078536163413555,0.0188157485680191,0.0,0.0,0.0
42,p06_downhill_after_turn,0.0162846799198228,0.0115718993627309,0.5359543793278675,0.0131799069854984,0.0075121243827936,0.5624390161340947,-0.0031047729343244013,-0.004059774979937299,0.026484636806227257
73,p01_factory_logistics_showcase,0.0152952316226569,0.0133164544734529,0.1447185819931768,0.0169641934115463,0.0119436462560624,0.118883545110143,0.0016689617888894,-0.001372808217390501,-0.025835036883033805
73,p02_sharp_turn_transition,0.0330886555580803,0.026429357964445,0.6378212272784943,0.0269766748676657,0.0278018421398664,0.6376986897602737,-0.0061119806904146,0.0013724841754213998,-0.00012253751822066672
73,p03_long_updown,0.0334194622884079,0.0236767334649243,1.8083870914908768,0.0351686082475691,0.0275234326278024,1.7456677338311506,0.0017491459591612024,0.003846699162878102,-0.06271935765972625
73,p04_soft_updown_straight_turn,0.0035336763535587,0.0085278932611408,0.3026016115914401,0.0035336763535587,0.0085278932611408,0.3026016115914401,0.0,0.0,0.0
73,p05_factory_flat_logistics,0.006013316711253,0.0052317232398989,0.0419658029481791,0.007101423994529,0.0058831526911831,0.0486640492227826,0.0010881072832759995,0.0006514294512842004,0.006698246274603498
73,p06_downhill_after_turn,0.0154164910329367,0.0164473157662858,0.4899983000768411,0.0092263987949322,0.009824987276501,0.508687250853838,-0.006190092238004499,-0.0066223284897848,0.01868895077699695
101,p01_factory_logistics_showcase,0.0518906279500749,0.0518319160589445,0.393590046722697,0.0214061805704277,0.0385761842199267,0.3008953301936027,-0.030484447379647204,-0.0132557318390178,-0.09269471652909428
101,p02_sharp_turn_transition,0.0475625371626318,0.0301263836482573,0.7461910677032988,0.0443556786565027,0.0322978140394708,0.7434982324608176,-0.003206858506129097,0.002171430391213501,-0.0026928352424812063
101,p03_long_updown,0.0240479518865737,0.0218410561759107,1.920990287933534,0.0200056387485742,0.0223453653833309,1.9175360913360864,-0.004042313137999503,0.0005043092074202005,-0.003454196597447723
101,p04_soft_updown_straight_turn,0.0040595546585291,0.0078965804578952,0.3530602457013858,0.0039254907640113,0.0077981958288315,0.3597668554208092,-0.00013406389451780035,-9.838462906369954e-05,0.00670660971942344
101,p05_factory_flat_logistics,0.0805936213448949,0.0558304671542139,2.1133492204796,0.0858240496562285,0.0626231986694996,4.763857507759233,0.005230428311333607,0.006792731515285699,2.650508287279633
101,p06_downhill_after_turn,0.0206861556120403,0.0182050802730708,0.5064689724225843,0.0183492447126569,0.016249466474873,0.5447007159865116,-0.002336910899383402,-0.0019556137981978014,0.038231743563927334
202,p01_factory_logistics_showcase,0.0132773018886195,0.0198735557195862,0.096971814114702,0.0144345265691104,0.0161107994177336,0.087691795254113,0.0011572246804909016,-0.003762756301852601,-0.009280018860589004
202,p02_sharp_turn_transition,0.0451051931610875,0.0312367324793137,0.9110841635433335,0.0351770099855334,0.0357258007411155,0.6687878489413437,-0.0099281831755541,0.004489068261801798,-0.24229631460198986
202,p03_long_updown,0.0223865733265461,0.0208232433830385,1.8299626788240675,0.031850593715434,0.0264286678817964,1.9044925168594984,0.009464020388887901,0.005605424498757901,0.0745298380354309
202,p04_soft_updown_straight_turn,0.0030752066268836,0.0077327364041794,0.2997621714080531,0.0030752066268836,0.0077327364041794,0.2997621714080531,0.0,0.0,0.0
202,p05_factory_flat_logistics,0.0092086374539585,0.0080080938982773,0.0192011409384252,0.0092086374539585,0.0080080938982773,0.0192011409384252,0.0,0.0,0.0
202,p06_downhill_after_turn,0.0253145318868385,0.0283540436224077,0.4803925436346676,0.0233129109744531,0.0314342925686144,0.4657667223774325,-0.002001620912385399,0.0030802489462067005,-0.014625821257235105
340,p01_factory_logistics_showcase,0.0155107949464361,0.015192953057487,0.1536859787345953,0.0126390728941671,0.0137781451841881,0.1105864053445917,-0.002871722052269,-0.001414807873298899,-0.0430995733900036
340,p02_sharp_turn_transition,0.0435210896206426,0.0277227800132762,0.7401829174609651,0.0233450702173206,0.028302128258361,0.7554776742519089,-0.020176019403321997,0.0005793482450848,0.015294756790943831
340,p03_long_updown,0.0351311369828889,0.0237803814237894,1.840401776755993,0.0337121199364524,0.026276417134437,1.891614369829525,-0.001419017046436502,0.0024960357106476004,0.051212593073531876
340,p04_soft_updown_straight_turn,0.0034034371921799,0.0078914701745813,0.302313883167873,0.0034034371921799,0.0078914701745813,0.302313883167873,0.0,0.0,0.0
340,p05_factory_flat_logistics,0.0092212345604136,0.0077548058611904,0.0208530787901583,0.0092212345604136,0.0077548058611904,0.0208530787901583,0.0,0.0,0.0
340,p06_downhill_after_turn,0.0157008547391171,0.0113053247332241,0.5458765746046335,0.0119935292890359,0.0063263272125505,0.5890170283309417,-0.0037073254500812006,-0.0049789975206735995,0.04314045372630826
520,p01_factory_logistics_showcase,0.0578976555580874,0.0686460819247172,5.9831488364584455,0.03161679576257,0.0501823821801069,0.5664951137725854,-0.0262808597955174,-0.018463699744610304,-5.41665372268586
