sample_index,t_s,theta_true_deg,theta_sched_deg,theta_tcn_deg,theta_imu_deg,theta_fused_deg,K_imu_eff,imu_valid,fallback_exact,delta_fused_vs_mtcn_deg
2719,27.19,5.253726162190085,5.248956686825721,5.418200189646568,5.392465545610616,5.4104797964357845,0.3,1.0,0.0,-0.007720393210783882
2720,27.2,5.255404958677688,5.252882735978264,5.420025756778523,5.386355574450495,5.4099247020801196,0.3,1.0,0.0,-0.010101054698403722
2721,27.21,5.257058341942148,5.256426987234828,5.421847888623535,5.402584211020996,5.416068785342774,0.3,1.0,0.0,-0.005779103280761255
2722,27.22,5.2587117252066085,5.259971238491393,5.423717881104456,5.3557879774799195,5.403338910017093,0.3,1.0,0.0,-0.02037897108736253
2723,27.23,5.260365108471074,5.263515489747958,5.4255507408411585,5.351232326709988,5.403255216601806,0.3,1.0,0.0,-0.022295524239352105
2724,27.24,5.26201849173554,5.267059741004522,5.427311944876385,5.369767046383119,5.410048475328407,0.3,1.0,0.0,-0.017263469547978083
2725,27.25,5.263671875,5.270603992261087,5.429093368293976,5.373362282392933,5.4123740425236635,0.3,1.0,0.0,-0.01671932577031221
2726,27.26,5.265299690082647,5.27394737030204,5.430875975181316,5.378695928460585,5.415221961165094,0.3,1.0,0.0,-0.015654014016221574
2727,27.27,5.266927505165286,5.2772907483429865,5.432717604952843,5.382635549866508,5.417692988426943,0.3,1.0,0.0,-0.015024616525900036
2728,27.28,5.268555320247933,5.280634126383934,5.434514961138797,5.3993306762741105,5.423959675679392,0.3,1.0,0.0,-0.01055528545940465
2729,27.29,5.270183135330579,5.28397750442488,5.436241256077398,5.401259493393341,5.425746727272182,0.3,1.0,0.0,-0.010494528805216063
2730,27.3,5.271810950413226,5.287320882465832,5.437980331220706,5.381565907497577,5.421056004103769,0.3,1.0,0.0,-0.01692432711693659
2731,27.31,5.2734130423553705,5.289980959308626,5.439720647705569,5.3343766325759425,5.408117443166682,0.3,1.0,0.0,-0.031603204538886764
2732,27.32,5.275015134297521,5.292641036151414,5.44152110341139,5.328856192369506,5.407721630098826,0.3,1.0,0.0,-0.03379947331256439
2733,27.33,5.276617226239671,5.295301112994207,5.443279756682338,5.333547217780226,5.410359995011703,0.3,1.0,0.0,-0.032919761670634706
2734,27.34,5.278219318181817,5.297961189837001,5.444970001782424,5.32191133079521,5.408052400486258,0.3,1.0,0.0,-0.036917601296165614
2735,27.35,5.279821410123967,5.300621266679793,5.446670829972811,5.314515864701708,5.407024340391483,0.3,1.0,0.0,-0.03964648958132777
2736,27.36,5.2813976239669405,5.303525019777239,5.4483793798542,5.36133662423636,5.4222665531688445,0.3,1.0,0.0,-0.026112826685355195
2737,27.37,5.282973837809914,5.306428772874685,5.450153927146163,5.4000871265111705,5.435133886955663,0.3,1.0,0.0,-0.015020040190499628
2738,27.38,5.284550051652893,5.309332525972129,5.451886295950791,5.399777345645164,5.436253610859103,0.3,1.0,0.0,-0.01563268509168836
2739,27.39,5.2861262654958665,5.312236279069574,5.453553431692272,5.3851927408505595,5.433045224439754,0.3,1.0,0.0,-0.020508207252517785
2740,27.4,5.28770247933884,5.315140032167019,5.455220920864726,5.375451704865204,5.4312901560648665,0.3,1.0,0.0,-0.023930764799859894
2741,27.41,5.289252660123966,5.317846814882179,5.456897317344707,5.377331226797156,5.433027490180441,0.3,1.0,0.0,-0.023869827164265445
2742,27.42,5.290802840909093,5.320553597597338,5.458646394364261,5.366301110700853,5.430942809265243,0.3,1.0,0.0,-0.027703585099017936
2743,27.43,5.292353021694213,5.323260380312497,5.460349391222032,5.359400518940755,5.430064729537651,0.3,1.0,0.0,-0.030284661684380154
2744,27.44,5.293903202479338,5.325967163027656,5.461989204142229,5.382167176836006,5.438042595950363,0.3,1.0,0.0,-0.023946608191866225
2745,27.45,5.295453383264465,5.328673945742815,5.463638486659256,5.374661045625629,5.436945254349166,0.3,1.0,0.0,-0.02669323231009013
2746,27.46,5.296977376033062,5.330657272160592,5.465301009382877,5.372545533058535,5.437474366485575,0.3,1.0,0.0,-0.027826642897301745
2747,27.47,5.298501368801653,5.33264059857837,5.467036784121493,5.352713206721796,5.432739710901583,0.3,1.0,0.0,-0.0342970732199106
2748,27.48,5.30002536157025,5.334623924996148,5.468724236318874,5.36202768381198,5.436715270566805,0.3,1.0,0.0,-0.032008965752068796
2749,27.49,5.301549354338841,5.336607251413924,5.470350355532527,5.328286216825531,5.427731113920428,0.3,1.0,0.0,-0.04261924161209851
2750,27.5,5.303073347107438,5.338590577831702,5.471979087687851,5.291794243871028,5.417923634542803,0.3,1.0,0.0,-0.05405545314504767
2751,27.51,5.30457099690083,5.341581403306503,5.47361766065458,5.324134640515319,5.428772754612804,0.3,1.0,0.0,-0.044844906041776156
2752,27.52,5.306068646694216,5.34457222878131,5.475333384122291,5.356157392900421,5.439580586755727,0.3,1.0,0.0,-0.03575279736656434
2753,27.53,5.307566296487602,5.347563054256111,5.47701177354151,5.419006055984237,5.459610058274327,0.3,1.0,0.0,-0.017401715267182816
2754,27.54,5.309063946280994,5.350553879730912,5.478636076448736,5.4405014570942,5.467195690642376,0.3,1.0,0.0,-0.011440385806359643
2755,27.55,5.31056159607438,5.353544705205713,5.480251924289685,5.456671257316704,5.473177724197787,0.3,1.0,0.0,-0.007074200091897964
2756,27.56,5.312032747933885,5.35597827639222,5.481873718385214,5.473366220576051,5.479321469042468,0.3,1.0,0.0,-0.0025522493427461157
2757,27.57,5.31350389979339,5.358411847578726,5.483560907141023,5.466238451407005,5.478364170420817,0.3,1.0,0.0,-0.005196736720206374
2758,27.58,5.314975051652895,5.360845418765232,5.485204976068643,5.4283882899555,5.468159970234697,0.3,1.0,0.0,-0.017045005833946192
2759,27.59,5.3164462035123945,5.363278989951744,5.486796616418598,5.392195228430954,5.458416200022305,0.3,1.0,0.0,-0.02838041639629285
