sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,rkf_theta_variance_rad2,rkf_observer_valid,observer_update_available,rkf_uncertainty_halfwidth_deg,delta_abs_error_deg,rkf_locally_better
22,22.0,0.22,0.0,0.0,0.16656432272889246,2.762491922668665e-07,1,1,0.05902407805287387,0.16656432272889246,0
23,23.0,0.23,0.0,0.0,0.16774914089931336,2.7652608955761667e-07,1,1,0.05905365192009759,0.16774914089931336,0
24,24.0,0.24,0.0,0.0,0.1690673026690489,2.7680274173114034e-07,1,1,0.05908318482427043,0.1690673026690489,0
25,25.0,0.25,0.0,0.0,0.16918864266285122,2.770791462881473e-07,1,1,0.05911267656018619,0.16918864266285122,0
26,26.0,0.26,0.0,0.0,0.16930910472663646,2.7735530590630085e-07,1,1,0.0591421274749187,0.16930910472663646,0
27,27.0,0.27,0.0,0.0,0.1691297073096607,2.776312194341042e-07,1,1,0.059171537506711384,0.1691297073096607,0
28,28.0,0.28,0.0,0.0,0.17041456930199114,2.7790688659691414e-07,1,1,0.05920090668724128,0.17041456930199114,0
29,29.0,0.29,0.0,0.0,0.17050009581854347,2.781823038809368e-07,1,1,0.059230234703200116,0.17050009581854347,0
30,30.0,0.3,0.0,0.0,0.170369343205345,2.78457477510671e-07,1,1,0.05925952227803474,0.170369343205345,0
31,31.0,0.31,0.0,0.0,0.17089365700046094,2.7873240396165137e-07,1,1,0.059288769096834705,0.17089365700046094,0
32,32.0,0.32,0.0,0.0,0.17215692824028037,2.7900708238459903e-07,1,1,0.05931797512960453,0.17215692824028037,0
33,33.0,0.33,0.0,0.0,0.17294382862217145,2.792815167864301e-07,1,1,0.05934714086229284,0.17294382862217145,0
34,34.0,0.34,0.0,0.0,0.17243271133904528,2.79555703931387e-07,1,1,0.059376266010656514,0.17243271133904528,0
35,35.0,0.35,0.0,0.0,0.17259422873062505,2.7982964488893415e-07,1,1,0.059405350747907294,0.17259422873062505,0
36,36.0,0.36,0.0,0.0,0.17323374104980183,2.8010333906956254e-07,1,1,0.05943439507082858,0.17323374104980183,0
37,37.0,0.37,0.0,0.0,0.17265922767986075,2.8037678593329474e-07,1,1,0.05946339898138008,0.17265922767986075,0
38,38.0,0.38,0.0,0.0,0.17361624636275477,2.806499870319884e-07,1,1,0.05949236270314957,0.17361624636275477,0
39,39.0,0.39,0.0,0.0,0.17497302405873055,2.8092293875535404e-07,1,1,0.059521285912336235,0.17497302405873055,0
40,40.0,0.4,0.0,0.0,0.17409017014674272,2.811956456033272e-07,1,1,0.05955016914445692,0.17409017014674272,0
41,41.0,0.41,0.0,0.0,0.1729665029251001,2.8146810429472283e-07,1,1,0.05957901211038486,0.1729665029251001,0
42,42.0,0.42,0.0,0.0,0.17263127737205822,2.817403198316572e-07,1,1,0.059607815397720955,0.17263127737205822,0
43,43.0,0.43,0.0,0.0,0.17378554881851913,2.820122843039599e-07,1,1,0.059636578227583115,0.17378554881851913,0
44,44.0,0.44,0.0,0.0,0.17410896042919086,2.8228400702475537e-07,1,1,0.059665301642721255,0.17410896042919086,0
45,45.0,0.45,0.0,0.0,0.17326662724028102,2.8255547847263604e-07,1,1,0.05969398469426337,0.17326662724028102,0
46,46.0,0.46,0.0,0.0,0.17399147893305156,2.8282670537402403e-07,1,1,0.059722628150552744,0.17399147893305156,0
47,47.0,0.47,0.0,0.0,0.17481271875457643,2.8309768503265143e-07,1,1,0.059751231783992526,0.17481271875457643,0
48,48.0,0.48,0.0,0.0,0.17550237266354785,2.8336841710157095e-07,1,1,0.059779795615150184,0.17550237266354785,0
49,49.0,0.49,0.0,0.0,0.17542022043057737,2.836389045093281e-07,1,1,0.05980832000981089,0.17542022043057737,0
