method_id,method_label,seed,path_id,path_label,n_samples,duration_s,mae_deg,p95_abs_error_deg,raw_result_file
tcn_22d,TCN-22D,42,p02_sharp_turn_transition,P2 Sharp-turn transition,5201,52,0.634770883494,1.48245253926,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed42\path_closed_loop_sharp_turn_transition_theta10_v1\tcn_22d_seed42_out.mat
tcn_22d,TCN-22D,42,p03_long_updown,P3 Long up/down slope,4401,44,0.717877803602,2.07280940707,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed42\path_closed_loop_long_updown_theta10_v1\tcn_22d_seed42_out.mat
tcn_22d,TCN-22D,42,p04_soft_updown_straight_turn,P4 Mild slope-turn coupling,5601,56,0.76409252286,0.999988889339,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed42\path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1\tcn_22d_seed42_out.mat
tcn_22d,TCN-22D,42,p05_factory_flat_logistics,P5 Flat factory logistics,19001,190,0.855933411359,1.01586652261,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed42\path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1\tcn_22d_seed42_out.mat
tcn_22d,TCN-22D,42,p06_downhill_after_turn,P6 Downhill recovery,3801,38,0.38243734136,1.4397751443,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed42\path_factory_target_downhill_straight_after_turn_v1\tcn_22d_seed42_out.mat
tcn_22d,TCN-22D,73,p01_factory_logistics_showcase,P1 Factory logistics,24583,245.82,2.12828214253,12.619246301,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed73\path_factory_logistics_showcase_theta10_v10\tcn_22d_seed73_out.mat
tcn_22d,TCN-22D,73,p02_sharp_turn_transition,P2 Sharp-turn transition,5201,52,0.553025983614,1.38911744793,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed73\path_closed_loop_sharp_turn_transition_theta10_v1\tcn_22d_seed73_out.mat
tcn_22d,TCN-22D,73,p03_long_updown,P3 Long up/down slope,4401,44,0.666719352791,2.04822777396,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed73\path_closed_loop_long_updown_theta10_v1\tcn_22d_seed73_out.mat
tcn_22d,TCN-22D,73,p04_soft_updown_straight_turn,P4 Mild slope-turn coupling,5601,56,0.760069861322,0.874998320192,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed73\path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1\tcn_22d_seed73_out.mat
tcn_22d,TCN-22D,73,p05_factory_flat_logistics,P5 Flat factory logistics,19001,190,0.795014478945,0.884106982287,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed73\path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1\tcn_22d_seed73_out.mat
tcn_22d,TCN-22D,73,p06_downhill_after_turn,P6 Downhill recovery,3801,38,0.340026559097,1.43546140161,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed73\path_factory_target_downhill_straight_after_turn_v1\tcn_22d_seed73_out.mat
tcn_22d,TCN-22D,101,p01_factory_logistics_showcase,P1 Factory logistics,24583,245.82,2.9025571267,12.9272739977,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed101\path_factory_logistics_showcase_theta10_v10\tcn_22d_seed101_out.mat
tcn_22d,TCN-22D,101,p02_sharp_turn_transition,P2 Sharp-turn transition,5201,52,0.859141327293,2.09822128119,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed101\path_closed_loop_sharp_turn_transition_theta10_v1\tcn_22d_seed101_out.mat
tcn_22d,TCN-22D,101,p03_long_updown,P3 Long up/down slope,4401,44,1.11590667259,2.50388100086,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed101\path_closed_loop_long_updown_theta10_v1\tcn_22d_seed101_out.mat
tcn_22d,TCN-22D,101,p04_soft_updown_straight_turn,P4 Mild slope-turn coupling,5601,56,1.74357435966,2.11641677208,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed101\path_modern_tcn_showcase_candidate_soft_updown_straight_turn_v1\tcn_22d_seed101_out.mat
tcn_22d,TCN-22D,101,p05_factory_flat_logistics,P5 Flat factory logistics,19001,190,1.64189160842,2.23480773842,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed101\path_modern_tcn_showcase_candidate_factory_flat_logistics_safe_190_v1\tcn_22d_seed101_out.mat
tcn_22d,TCN-22D,101,p06_downhill_after_turn,P6 Downhill recovery,3801,38,1.3587624246,2.58796255388,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed101\path_factory_target_downhill_straight_after_turn_v1\tcn_22d_seed101_out.mat
tcn_22d,TCN-22D,202,p01_factory_logistics_showcase,P1 Factory logistics,24583,245.82,1.47385964932,4.83462386024,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed202\path_factory_logistics_showcase_theta10_v10\tcn_22d_seed202_out.mat
tcn_22d,TCN-22D,202,p02_sharp_turn_transition,P2 Sharp-turn transition,5201,52,0.764459185147,1.84917882535,E:\Matlab\Simulink\S-Function_16\results\modern_tcn_metric_rebuild\39_paper_final_frozen_benchmark\01_A1_algorithm_comparison\04_closed_loop\raw\tcn_22d\seed202\path_closed_loop_sharp_turn_transition_theta10_v1\tcn_22d_seed202_out.mat
