time_s,reference_grade_deg,modern_tcn_delta_deg,modern_tcn_22d_deg,gru_22d_deg,tcn_22d_deg
44.5,-5.1166375,-5.55476076565,-5.81103430629,-5.04816631187,-4.55933321816
44.51,-5.09768518519,-5.55210429951,-5.8040770746,-5.04709752296,-4.55722935398
44.52,-5.09768518519,-5.54744114695,-5.79631211247,-5.04576672378,-4.55684729481
44.53,-5.09768518519,-5.54567686751,-5.78891907542,-5.04429679824,-4.55481537114
44.54,-5.09768518519,-5.54265114987,-5.78189294751,-5.04308370812,-4.5584059969
44.55,-5.09768518519,-5.53653083144,-5.77590898796,-5.04177341357,-4.55607569738
44.56,-5.07692731481,-5.53121073437,-5.76966798295,-5.0408924983,-4.55474417489
44.57,-5.07692731481,-5.52665595651,-5.76356286307,-5.03602655666,-4.55048733432
44.58,-5.07692731481,-5.52468874287,-5.75734399155,-5.03110004163,-4.54581566179
44.59,-5.07692731481,-5.5220086734,-5.75050841954,-5.02604379474,-4.54896072952
44.6,-5.07692731481,-5.51844921945,-5.74370664884,-5.02112840629,-4.55117695952
44.61,-5.0544,-5.50991710092,-5.73800411761,-5.01791684323,-4.54679035467
44.62,-5.0544,-5.50655941307,-5.73096667568,-5.00852908744,-4.55007498081
44.63,-5.0544,-5.49966962953,-5.72398143097,-4.9993581156,-4.54180326379
44.64,-5.0544,-5.49450254917,-5.71747731833,-4.99047930457,-4.54435421732
44.65,-5.0544,-5.48896483601,-5.71178649604,-4.98187639533,-4.53801710134
44.66,-5.03013935185,-5.48150526904,-5.70577509533,-4.97357824779,-4.53190788839
44.67,-5.03013935185,-5.47598868906,-5.70041220392,-4.96026169222,-4.53243538038
44.68,-5.03013935185,-5.47075923613,-5.69474510463,-4.9470125469,-4.5341628333
44.69,-5.03013935185,-5.46488944208,-5.68799705097,-4.93398145189,-4.52781010228
44.7,-5.03013935185,-5.45649172389,-5.68162010785,-4.92132692116,-4.52908326504
44.71,-5.00418148148,-5.44790775913,-5.67571757718,-4.90926399582,-4.52845930444
44.72,-5.00418148148,-5.44128983254,-5.6693579598,-4.89171012934,-4.5257185896
44.73,-5.00418148148,-5.43508800721,-5.66285688681,-4.87406233859,-4.52548005154
44.74,-5.00418148148,-5.42627311169,-5.65560160164,-4.85694371884,-4.51750434416
44.75,-5.00418148148,-5.41697151363,-5.6488693603,-4.84009137169,-4.51846312249
44.76,-4.9765625,-5.40835818627,-5.64282300977,-4.82355626332,-4.51087592069
44.77,-4.9765625,-5.4029174828,-5.63574748779,-4.80152592555,-4.50503485498
44.78,-4.9765625,-5.39718626319,-5.62891740786,-4.76923456192,-4.49987811386
44.79,-4.9765625,-5.38915331966,-5.62169505673,-4.73883339582,-4.50224781108
44.8,-4.9765625,-5.37968448725,-5.61512174784,-4.70908061709,-4.50021584856
44.81,-4.94731851852,-5.36936184167,-5.6088966443,-4.68156603563,-4.49062451965
44.82,-4.94731851852,-5.36281443476,-5.60235926014,-4.64947194687,-4.49102816096
