time_s,reference_grade_deg,modern_tcn_delta_deg,qualified_observer_deg,fused_grade_deg,scheduled_grade_deg,effective_gain,correction_deg,innovation_deg,nis,quality_score,p_help,v7_gate,fallback,active
130.97,0.903566684127,0,1.2147746524,0,2.77106925077e-36,0,0,1.2147746524,0.12833758864,0.458502948685,0.851964630596,1,1,0
130.98,0.903910842676,0,1.21445548146,0,2.70662577982e-36,0,0,1.21445548146,0.128340309953,0.292950930372,0.851964630596,1,1,0
130.99,0.904255001225,0,1.21427697433,0,2.64218230887e-36,0,0,1.21427697433,0.128300988923,0.386063621388,0.851964630596,1,1,0
131,0.904599159774,0,1.21343510236,0,2.57773883793e-36,0,0,1.21343510236,0.128140337916,0.36794174689,0.851964630596,1,1,0
131.01,0.904942712821,0,1.21260254839,0,2.52045575264e-36,0,0,1.21260254839,0.127944223167,0.310439277719,0.851964630596,1,1,0
131.02,0.905286265868,0,1.21170655431,0,2.46317266735e-36,0,0,1.21170655431,0.127760344812,0.292203191579,0.851964630596,1,1,0
131.03,0.905629818915,0,1.21388295458,0,2.40588958206e-36,0,0,1.21388295458,0.128298144902,0.292080754916,0.851964630596,1,1,0
131.04,0.905973371961,0,1.21547059885,0,2.34860649678e-36,0,0,1.21547059885,0.128607815483,0.346495968502,0.851964630596,1,1,0
131.05,0.906316925008,0,1.21641761068,0,2.29132341149e-36,0,0,1.21641761068,0.128807088112,0.355262317906,0.851964630596,1,1,0
131.06,0.90665986881,0,1.21655938637,0,2.24040511346e-36,0,0,1.21655938637,0.128798570538,0.291375133653,0.851964630596,1,1,0
131.07,0.907002812613,0,1.21668189527,0,2.18948681542e-36,0,0,1.21668189527,0.128818340276,0.291519252905,0.851964630596,1,1,0
131.08,0.907345756415,0,1.21881042954,0,2.13856851739e-36,0,0,1.21881042954,0.129249336169,0.291515702521,0.851964630596,1,1,0
131.09,0.907688700217,0,1.21863789829,0,2.08765021936e-36,0,0,1.21863789829,0.129231460008,0.404535686626,0.851964630596,1,1,0
131.1,0.908031644019,0,1.22018786661,0,2.03673192132e-36,0,0,1.22018786661,0.129517234754,0.331517015513,0.851964630596,1,1,0
131.11,0.908373974835,0,1.22070262795,0,1.99147121196e-36,0,0,1.22070262795,0.129639804325,0.469178769511,0.851964630596,1,1,0
