sample_index,debug_step,t_s,theta_true_deg,theta_mtcn_deg,theta_observer_deg,abs_error_mtcn_deg,abs_error_observer_deg,delta_abs_error_deg,evaluation_sample,observer_better_beyond_tolerance,mtcn_better_beyond_tolerance,near_tie
35,35.0,0.35,0.0,0.0,6.715032633536687,0.0,6.715032633536687,6.715032633536687,0,0,0,0
36,36.0,0.36,0.0,0.0,6.713109516615016,0.0,6.713109516615016,6.713109516615016,0,0,0,0
37,37.0,0.37,0.0,0.0,6.687453339356121,0.0,6.687453339356121,6.687453339356121,0,0,0,0
38,38.0,0.38,0.0,0.0,6.651124164578441,0.0,6.651124164578441,6.651124164578441,0,0,0,0
39,39.0,0.39,0.0,0.0,6.618221122703517,0.0,6.618221122703517,6.618221122703517,0,0,0,0
40,40.0,0.4,0.0,0.0,6.5834370536022115,0.0,6.5834370536022115,6.5834370536022115,0,0,0,0
41,41.0,0.41,0.0,0.0,6.551582170755166,0.0,6.551582170755166,6.551582170755166,0,0,0,0
42,42.0,0.42,0.0,0.0,6.516772816654054,0.0,6.516772816654054,6.516772816654054,0,0,0,0
43,43.0,0.43,0.0,0.0,6.485290406500203,0.0,6.485290406500203,6.485290406500203,0,0,0,0
44,44.0,0.44,0.0,0.0,6.452014478638261,0.0,6.452014478638261,6.452014478638261,0,0,0,0
45,45.0,0.45,0.0,0.0,6.418427423631696,0.0,6.418427423631696,6.418427423631696,0,0,0,0
46,46.0,0.46,0.0,0.0,6.388096048582943,0.0,6.388096048582943,6.388096048582943,0,0,0,0
47,47.0,0.47,0.0,0.0,6.354615017865886,0.0,6.354615017865886,6.354615017865886,0,0,0,0
48,48.0,0.48,0.0,0.0,6.32210777282042,0.0,6.32210777282042,6.32210777282042,0,0,0,0
49,49.0,0.49,0.0,0.0,6.288275637753568,0.0,6.288275637753568,6.288275637753568,0,0,0,0
50,50.0,0.5,0.0,0.0,6.252913701177947,0.0,6.252913701177947,6.252913701177947,1,0,1,0
51,51.0,0.51,0.0,0.0,6.2190442821068155,0.0,6.2190442821068155,6.2190442821068155,1,0,1,0
52,52.0,0.52,0.0,0.0,6.184922910808105,0.0,6.184922910808105,6.184922910808105,1,0,1,0
53,53.0,0.53,0.0,0.0,6.151137666075444,0.0,6.151137666075444,6.151137666075444,1,0,1,0
54,54.0,0.54,0.0,0.0,6.116537969169203,0.0,6.116537969169203,6.116537969169203,1,0,1,0
55,55.0,0.55,0.0,0.0,6.084394800840994,0.0,6.084394800840994,6.084394800840994,1,0,1,0
