t_s,e_y,e_psi,e_v,e_omega,xy_error,X,Y,X_ref,Y_ref,F_cmd,omega_cmd,F_limit_lo,F_limit_hi,omega_limit_lo,omega_limit_hi,theta_true,theta_ref,theta_imu_raw,theta_sched,solve_time_ms
32.83,-0.000945483772342201,-0.00326458468442636,-0.0308015465531996,0.00447702511468554,0.263733615632266,12.4614379878363,-20.7383203291175,12.5435117399846,-20.4876825043129,-107.709183253506,-0.00844949579060028,-662.53764063855,657.46235936145,-1.3250752812771,1.3149247187229,-0.0687864212424253,-0.0687864212424253,-0.0778030250371493,-0.0842223118947047,0.0261898
32.84,-0.00097341231096687,-0.00336622871997294,-0.0308620215441379,0.00342685098214976,0.263425351621428,12.4586437111783,-20.7468668117842,12.5406475210518,-20.4965304559685,-107.648974605063,-0.00815634325941517,-662.53764063855,657.46235936145,-1.3250752812771,1.3149247187229,-0.0685903138660095,-0.0685903138660095,-0.0776734854248084,-0.0840638489850625,0.0256627
32.85,-0.00087500913494537,-0.00300325889426878,-0.030919719590298,0.00643253506057713,0.263116499904555,12.455849153281,-20.7554125808408,12.537783302119,-20.505378407624,-106.108837239603,-0.0083842174270643,-662.3380782464,657.6619217536,-1.3246761564928,1.3153238435072,-0.0683942064895939,-0.0683942064895939,-0.077566869689739,-0.0839053860754205,0.026851
32.86,-0.000899979172440848,-0.00310897674393873,-0.0309949835418428,0.00258468318013828,0.262806972319262,12.4530542292818,-20.7639575307021,12.5349151298747,-20.5142250785583,-105.931303866366,-0.00763370286573206,-662.3380782464,657.6619217536,-1.3246761564928,1.3153238435072,-0.0681979813034538,-0.0681979813034538,-0.077431029826593,-0.0837510834881052,0.0258638
32.87,-0.000925563326735462,-0.00319062669433801,-0.031062061911193,0.0063518551592163,0.262496735715712,12.4502589409762,-20.7725016125667,12.5320469576304,-20.5230717494926,-105.917379558245,-0.00816367669618501,-662.3380782464,657.6619217536,-1.3246761564928,1.3153238435072,-0.0680017561173137,-0.0680017561173137,-0.0773186992172977,-0.0835967809007898,0.0255635
32.88,-0.000951883367618589,-0.00329681475530652,-0.0311284967158103,0.00273303968491211,0.262185834464845,12.4474631590389,-20.7810448305177,12.5291787853861,-20.531918420427,-105.843605876127,-0.00744822750890251,-662.3380782464,657.6619217536,-1.3246761564928,1.3153238435072,-0.0678055309311734,-0.0678055309311734,-0.0771819544395514,-0.0834424783134744,0.0263811
32.89,-0.00097890337930312,-0.00338751550401417,-0.0311915291239088,0.00618742354003602,0.261874288938332,12.4446669113864,-20.7895872149167,12.5263106131418,-20.5407650913613,-105.799213580946,-0.00786381117210055,-662.3380782464,657.6619217536,-1.3246761564928,1.3153238435072,-0.0676093057450333,-0.0676093057450333,-0.0770747061675138,-0.0832881757261591,0.0258923
32.9,-0.000882866007810068,-0.0030531719744078,-0.0312525136018242,0.00243703300253286,0.261562126632571,12.4418700876252,-20.7981287582339,12.5234424408975,-20.5496117622956,-104.262296743849,-0.00773762409345125,-662.288532377603,657.711467622397,-1.32457706475521,1.31542293524479,-0.0674130805588932,-0.0674130805588932,-0.0769617696462296,-0.0831338731388437,0.0254969
32.91,-0.000907491319417933,-0.00314869211758673,-0.0313312702060331,0.0053081228030751,0.261249254722061,12.4390727470985,-20.8066693970996,12.5205703868794,-20.5584571737846,-104.116409279564,-0.00790154550041677,-662.288532377603,657.711467622397,-1.32457706475521,1.31542293524479,-0.0672167768329366,-0.0672167768329366,-0.0770263541758657,-0.0829798978936777,0.0255423
32.92,-0.00093298107331706,-0.00326380185799824,-0.0314032999065827,0.0011799934128201,0.260935631770982,12.4362748177889,-20.8152090497334,12.5176983328613,-20.5673025852735,-104.059324257234,-0.00707706378294404,-662.288532377603,657.711467622397,-1.32457706475521,1.31542293524479,-0.0670204731069801,-0.0670204731069801,-0.076711986579243,-0.0828259226485117,0.0252985
